scenario,question,status,reported_event_time_s,latent_integral_J_est,latent_peak_power_W,max_linear_relative_residual,max_physical_heat_balance_relative,max_physical_heat_balance_residual_J,water_balance_max_abs_kg_s,max_picard_iterations
no_latent,Q2,PASS,,0.0,0.0,4.997637220100312e-11,1.3030436366467946e-05,0.0014290918569770383,3.2564808461572545e-14,5
nominal_proxy,Q2,PASS,,190485.80523792852,47.21959460240826,4.9948310565658356e-11,0.0004892659971086201,2.2182565918446926,4.507418743804337e-14,8
nominal_proxy,Q3,PASS,240780.0,590331.5014456161,44.41832263691597,4.999575034538098e-11,0.0022665870426927578,20.55279093522404,2.28699539503701e-14,9
no_latent,Q4,PASS,186540.0,0.0,0.0,4.998334951278612e-11,5.861615565849506e-05,0.03215896712286792,2.138733289048459e-14,6
nominal_proxy,Q4,PASS,246360.0,750376.2536302977,44.80059955390941,4.999830162298385e-11,0.0059300923179213,51.01138289206574,1.5600518991324037e-14,10
