scenario,question,time_s,sensible_inventory_change_J,fixed_volume_sensible_change_J,geometry_heat_term_J,geometry_reference_temperature_K,surface_convection_in_W,surface_latent_out_W,moisture_enthalpy_correction_J,linear_solver_relative_residual,physical_heat_balance_residual_J,physical_heat_balance_relative
no_latent,Q2,120.0,48.16656040119729,48.16656040119729,0.0,301.15,0.40138900289528706,0.0,0.0,4.709473696479238e-11,-0.00011994623716304886,2.4902325902025274e-06
no_latent,Q2,240.0,76.42919793861299,76.42919793861299,0.0,301.2419320240224,0.6369106778166201,0.0,0.4385509402422538,4.6233620427434674e-11,-8.33993814239875e-05,1.0911967241346823e-06
no_latent,Q2,360.0,118.67104087515156,118.67104087515156,0.0,301.38919492502794,0.9889264868311822,0.0,0.9381116047492719,3.801031388793062e-11,-0.00013754459030224098,1.159039559005166e-06
no_latent,Q2,480.0,139.44686280244215,139.44686280244215,0.0,301.61933504420773,1.1620571302460672,0.0,1.6316088449362574,2.2566846114997303e-11,7.172914109787598e-06,5.143833260666211e-08
no_latent,Q2,600.0,169.04809132144842,169.04809132144842,0.0,301.8918490119876,1.4087348062204132,0.0,2.3150000040609604,3.3700861492084205e-11,-8.54250011741442e-05,5.053293257475983e-07
no_latent,Q2,720.0,195.36555570968096,195.36555570968096,0.0,302.2242591120752,1.6280469959510662,0.0,3.0929657074921484,2.360470352619598e-11,-8.380444697309031e-05,4.289620589450171e-07
no_latent,Q2,840.0,211.7833057091732,211.7833057091732,0.0,302.61081531900646,1.7648599942626861,0.0,3.93377519238957,2.8072149172488735e-11,0.000106397650853296,5.023892251422511e-07
no_latent,Q2,960.0,230.15812050141204,230.15812050141204,0.0,303.0326627321383,1.9179837963325945,0.0,4.778636725082628,2.032164515646807e-11,6.49415007103471e-05,2.8216037117816433e-07
no_latent,Q2,1080.0,248.11212565573828,248.11212565573828,0.0,303.49395325914855,2.0676007857193133,0.0,5.658797209666811,2.4283622481948573e-11,3.136942069659199e-05,1.26432437002768e-07
no_latent,Q2,1200.0,258.13778319488557,258.13778319488557,0.0,303.9942239187749,2.151145895636952,0.0,6.578214214447123,2.578477705167774e-11,0.000275718451348439,1.068105753198789e-06
