scenario,scenario_label,question,level,time_level,refinement_axis,nr,nz,dt_s,duration_s,status,runtime_s,final_max_C,final_mean_C,reported_event_time_s,interpolated_event_time_s,candidate_temperature_range_C,max_linear_relative_residual,normalized_moisture_balance_error,latent_integral_J_est,latent_peak_power_W,latent_mass_closure,proxy_scale,L_v_J_per_kg,latent_product_Lv_scale,water_balance_max_abs_kg_s,proxy_boundary_loss_max_kg_s,water_trace_count,max_physical_heat_balance_relative,max_physical_heat_balance_residual_J
nominal_proxy,名义等效潜热近似,Q3,M,M,space,12,12,300.0,259200.0,PASS,12.855032699997537,0.14996209066826477,0.12272816362785702,240780.0,240766.36593171614,52.56022128238811,4.999575034538098e-11,1.0071684120984339e-09,590331.5014456161,44.41832263691597,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,2400000.0,2400000.0,2.28699539503701e-14,1.850763443204832e-05,803,0.0022665870426927578,20.55279093522404
nominal_proxy,名义等效潜热近似,Q3,H,M,space,18,18,300.0,259200.0,PASS,19.50702449999517,0.14992014892534414,0.12204494630703082,237360.0,237321.48444589484,52.51944107514032,4.999437434881114e-11,6.119469321935878e-10,590252.9381612992,44.65403980854068,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,2400000.0,2400000.0,1.9371728207000574e-14,1.8605849920225282e-05,792,0.0018821532523363932,17.05719053750181
nominal_proxy,名义等效潜热近似,Q4,L,M,space,8,8,300.0,259200.0,PASS,12.11741350000375,0.149894469787525,0.11721186117287431,250920.0,250882.17480295536,47.91127754250516,4.9995034329864394e-11,6.450895907773359e-10,750869.2705216419,41.77530500052098,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,2400000.0,2400000.0,1.4759798980625623e-14,1.740637708355041e-05,837,0.0060283438396106885,49.14302495491029
nominal_proxy,名义等效潜热近似,Q4,M,M,space,12,12,300.0,259200.0,PASS,14.843590700009372,0.1498605442005225,0.1164623250483588,246360.0,246319.84026507995,47.74364314310577,4.999830162298385e-11,5.636763174680772e-10,750376.2536302977,44.80059955390941,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,2400000.0,2400000.0,1.5600518991324037e-14,1.8666916480795585e-05,822,0.0059300923179213,51.01138289206574
nominal_proxy,名义等效潜热近似,Q4,H,M,space,18,18,300.0,259200.0,PASS,21.918909199986956,0.14988094348927986,0.11607113731625013,244320.0,244264.1064798287,47.50952912820719,4.999904388684767e-11,1.1489550292486532e-09,749848.2487821382,46.32515489073606,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,2400000.0,2400000.0,1.7071725435212348e-14,1.9302147871140025e-05,815,0.0054356729310050525,47.86752986099418
low_proxy,低档等效潜热近似,Q2,M,M,sensitivity,12,12,120.0,10800.0,PASS,1.6415515999979107,2.3353917002467495,1.5754835510766108,,,18.669645836281347,4.995009561034274e-11,8.868645997285478e-10,117609.13584736318,23.60979730120413,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,1200000.0,1200000.0,2.0317266850855813e-14,1.9674831084336775e-05,90,0.0001390304722613751,0.31191533255923787
low_proxy,低档等效潜热近似,Q3,M,M,sensitivity,12,12,300.0,259200.0,PASS,11.61111099999107,0.1499912024477916,0.12284777793275847,226500.0,226471.86305138588,36.74429871198282,4.999927196670422e-11,5.806198689743199e-10,294601.82041344186,22.209161318457983,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,1200000.0,1200000.0,1.475416367042754e-14,1.850763443204832e-05,755,0.0006926852887448294,3.058286268223128
low_proxy,低档等效潜热近似,Q4,M,M,sensitivity,12,12,300.0,259200.0,PASS,12.504750899999635,0.1499561664509666,0.11673448279215165,216540.0,216514.1269272418,34.314831890525056,4.9996684078135513e-11,7.55848944041831e-10,374032.6359700144,22.400299776954704,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,1200000.0,1200000.0,2.0834709960971046e-14,1.8666916480795585e-05,722,0.0023703420415883436,9.949429871713619
high_proxy,高档等效潜热近似,Q2,M,M,sensitivity,12,12,120.0,10800.0,PASS,1.4569845999940298,2.549746674267401,1.9821629656890494,,,51.618066913355875,4.991944569064795e-11,2.4193056369692822e-09,275081.628245355,94.43918920481651,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,4800000.0,4800000.0,3.0655608056922613e-14,1.9674831084336775e-05,90,0.0022355773260110618,20.350944944133516
high_proxy,高档等效潜热近似,Q3,M,M,sensitivity,12,12,300.0,259200.0,PASS,14.461612900006003,0.15271911298720378,0.12446334921544094,,,70.0792450883396,4.999638864556449e-11,7.921936164065595e-10,1184396.436680578,88.83664527383193,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,4800000.0,4800000.0,9.496841078023965e-15,1.850763443204832e-05,864,0.0090856507561496,166.254094537504
