scope,family,level,nr,nz,dt_s,metric,value,adjacent_change,runtime_s
time,Q1-M1,1,275,1,0.5,final_max_C,2.549992191112851,,25.165134499999112
time,Q1-M1,2,275,1,0.25,final_max_C,2.5499922565035016,6.539065067201477e-08,42.3657882999978
time,Q1-M1,3,275,1,0.125,final_max_C,2.5499922891496656,3.264616399434317e-08,54.077570200010086
time,Q1-M2,1,210,54,0.5,final_max_C,2.5499921314692346,,294.8475335999974
time,Q1-M2,2,210,54,0.25,final_max_C,2.5499921970998947,6.563066001774587e-08,521.2775918000116
time,Q1-M2,3,210,54,0.125,final_max_C,2.5499922298083924,3.2708497688105354e-08,909.1365978999966
time,Q2-M3,1,210,36,10,final_max_C,1.7279680699343563,,49.030366100007086
time,Q2-M3,2,210,36,5,final_max_C,1.7278641290474162,0.0001039408869401015,71.34109679999528
time,Q2-M3,3,210,36,2.5,final_max_C,1.7278120917399604,5.203730745573232e-05,96.43702759999724
