scope,family,level,nr,nz,dt_s,metric,value,adjacent_change,observed_order,runtime_s
threshold,SMOKE-Q3,1,20,12,30,interpolated_event_time_s,,,,0.35264250000182074
threshold,SMOKE-Q4,1,20,12,30,interpolated_event_time_s,,,,0.3233996999915689
