step_index,old_radius_m,new_radius_m,dt_total_s,sensible_energy_old_J,sensible_energy_new_J,delta_sensible_energy_J,conductive_boundary_heat_J,latent_heat_J,residual_J,relative_residual,linear_storage_delta_last_J,linear_boundary_heat_last_J,linear_solver_relative_residual_last,linear_storage_boundary_balance_relative_last,internal_radial_flux_abs_last_W,internal_axial_flux_abs_last_W,picard_calls
1,0.019519190938511326,0.019519190938511326,600.0,0.0,683.5730662967057,683.5730662967057,683.5730699738697,0.0,-3.6771639315702487e-06,5.379328257783491e-09,683.5730662967057,683.5730699738697,2.98560314017333e-11,5.379328257783491e-09,3.3596624475319077,0.09389419074821971,6
2,0.019519190938511326,0.019091715210355985,600.0,683.573066294571,1696.592577000949,1013.0195107063779,1053.3580006536865,0.0,-40.33848994730863,0.03829513795146153,1053.3579968539464,1053.3580006536865,4.291432944758798e-11,3.6072637870021146e-09,5.874821380676221,0.16405904580298397,6
3,0.019091715210355985,0.01873,600.0,1696.5925769500973,2782.6088489297417,1086.0162719796444,1171.6009847113323,0.0,-85.58471273168789,0.07304936906721265,1171.6009807726996,1171.6009847113323,3.2492853026522733e-11,3.361752675006477e-09,7.052861517566632,0.19602003617035207,6
4,0.01873,0.018443526619709376,600.0,2782.608848771884,3795.139639442589,1012.5307906707053,1128.6073618537205,0.0,-116.07657118301518,0.10284938332527015,1128.6073577151938,1128.6073618537205,4.8046184039395904e-11,3.6669322382819354e-09,7.150412128663466,0.198128332309127,6
5,0.018443526619709376,0.01819795938828606,600.0,3795.1396392304187,4664.337032839663,869.1973936092445,1008.9778279114182,0.0,-139.78043430217372,0.13853667586682147,1008.9778248441547,1008.9778279114182,3.9328729263555386e-11,3.039971154206606e-09,6.618135297600228,0.18277834809623947,6
6,0.01819795938828606,0.01794,600.0,4664.337032647043,5377.534761049692,713.1977284026489,889.8382766382239,0.0,-176.640548235575,0.19850859743066626,889.8382723343814,889.8382766382239,4.6162483922561695e-11,4.836656968949615e-09,5.939991008515542,0.16242065808566833,6
7,0.01794,0.017640997821350764,600.0,5377.5347608870825,5850.595091948114,473.0603310610313,700.7104255201153,0.0,-227.65009445908402,0.32488469725579794,700.7104213933734,700.7104255201153,3.728180836669151e-11,5.889368548901438e-09,4.836440803130378,0.13115888269859496,6
8,0.017640997821350764,0.017327721132897603,600.0,5850.595091901543,6172.402364034353,321.8072721328099,580.3872629446184,0.0,-258.57999081180856,0.4455300922695864,580.3872597564159,580.3872629446184,2.7096733065153592e-11,5.493233105592271e-09,4.013725472894779,0.10671252087707639,6
9,0.017327721132897603,0.01703,600.0,6172.402364006931,6326.779413356266,154.3770493493348,419.18630935703266,0.0,-264.80926000769784,0.6317221104235836,419.1863046276984,419.18630935703266,3.661534601435674e-11,1.1282177267897474e-08,2.9987853831618105,0.07915338671914593,6
10,0.01703,0.01673982456140351,600.0,6326.779413340372,6415.2968040860305,88.5173907456583,357.40603796893646,0.0,-268.88864722327816,0.7523338126891083,357.406032800103,357.40603796893646,4.1805451574450886e-11,1.4462076514652742e-08,2.492999782400185,0.06383686604172009,6
