scenario,question,level,time_s,sensible_inventory_change_J,fixed_volume_sensible_change_J,geometry_heat_term_J,convective_input_J,evaporation_latent_heat_loss_J,geometry_correction_J,expected_sensible_change_J,fixed_geometry_error_J,moving_geometry_error_J,geometry_reference_temperature_K,surface_convection_in_W,surface_latent_out_W,linear_solver_relative_residual,physical_heat_balance_residual_J,physical_heat_balance_relative
no_latent,Q2,L,1560.0,277.49909536593407,277.49909536593407,0.0,277.49909681225074,0.0,0.0,277.49909681225074,-1.446316673536785e-06,-1.446316673536785e-06,305.5666320849196,2.3124924734354226,0.0,2.3574015424657886e-11,-1.446316673536785e-06,5.2119689402640766e-09
no_latent,Q2,L,1680.0,276.6015366812653,276.6015366812653,0.0,276.6015381959339,0.0,0.0,276.6015381959339,-1.5146686109801522e-06,-1.5146686109801522e-06,306.12195056235606,2.3050128182994496,0.0,2.4042161243258314e-11,-1.5146686109801522e-06,5.475994894530265e-09
no_latent,Q2,L,1800.0,289.1053049321477,289.1053049321477,0.0,289.10530683275374,0.0,0.0,289.10530683275374,-1.9006060369974875e-06,-1.9006060369974875e-06,306.6775645475876,2.4092108902729477,0.0,2.718457032984078e-11,-1.9006060369974875e-06,6.574095985366953e-09
no_latent,Q2,L,1920.0,282.1996507948954,282.1996507948954,0.0,282.1996525396846,0.0,0.0,282.1996525396846,-1.7447892446398328e-06,-1.7447892446398328e-06,307.2605452767063,2.3516637711640387,0.0,2.6529094694548145e-11,-1.7447892446398328e-06,6.1828185433164906e-09
no_latent,Q2,L,2040.0,284.23643328739223,284.23643328739223,0.0,284.23643525522397,0.0,0.0,284.23643525522397,-1.9678317357829656e-06,-1.9678317357829656e-06,307.83168689051274,2.3686369604602,0.0,2.745870564846971e-11,-1.9678317357829656e-06,6.923221275330144e-09
no_latent,Q2,L,2160.0,276.46143394977025,276.46143394977025,0.0,276.4614357950941,0.0,0.0,276.4614357950941,-1.8453238226356916e-06,-1.8453238226356916e-06,308.40910572992993,2.3038452982924507,0.0,2.6320093254781815e-11,-1.8453238226356916e-06,6.674796494956341e-09
no_latent,Q2,L,2280.0,275.6934954779926,275.6934954779926,0.0,275.69349746684446,0.0,0.0,275.69349746684446,-1.9888518636435037e-06,-1.9888518636435037e-06,308.97277876755766,2.297445812223704,0.0,2.6746455727949125e-11,-1.9888518636435037e-06,7.213996274550102e-09
no_latent,Q2,L,2400.0,275.5800372429744,275.5800372429744,0.0,275.58003934427,0.0,0.0,275.58003934427,-2.1012955926380528e-06,-2.1012955926380528e-06,309.5369657839149,2.296500327868917,0.0,2.739738283939498e-11,-2.1012955926380528e-06,7.624991990123772e-09
no_latent,Q2,L,2520.0,275.07528062507447,275.07528062507447,0.0,275.07528269783836,0.0,0.0,275.07528269783836,-2.072763891192153e-06,-2.072763891192153e-06,310.10299649178586,2.2922940224819865,0.0,2.7583990687136695e-11,-2.072763891192153e-06,7.535260423485667e-09
no_latent,Q2,L,2640.0,271.154336133963,271.154336133963,0.0,271.15433818948657,0.0,0.0,271.15433818948657,-2.0555235664687643e-06,-2.0555235664687643e-06,310.67005404422906,2.2596194849123883,0.0,2.722949745256074e-11,-2.0555235664687643e-06,7.580640531859515e-09
no_latent,Q2,L,2760.0,256.28095135113074,256.28095135113074,0.0,256.2809531872916,0.0,0.0,256.2809531872916,-1.836160834045586e-06,-1.836160834045586e-06,311.23104239713894,2.1356746098940964,0.0,2.4496223489350467e-11,-1.836160834045586e-06,7.1646402559760626e-09
no_latent,Q2,L,2880.0,255.22512849571208,255.22512849571208,0.0,255.22513047715086,0.0,0.0,255.22513047715086,-1.9814387712813186e-06,-1.9814387712813186e-06,311.7631279240807,2.1268760873095904,0.0,2.4719401834601237e-11,-1.9814387712813186e-06,7.763494008513037e-09
no_latent,Q2,L,3000.0,238.89006966091648,238.89006966091648,0.0,238.890072709647,0.0,0.0,238.890072709647,-3.0487305195947556e-06,-3.0487305195947556e-06,312.2949357671817,1.990750605913725,0.0,3.759279798835896e-11,-3.0487305195947556e-06,1.2762064513665493e-08
no_latent,Q2,L,3120.0,242.81619447359472,242.81619447359472,0.0,242.8161963834824,0.0,0.0,242.8161963834824,-1.909887686224465e-06,-1.909887686224465e-06,312.7944469813088,2.0234683031956866,0.0,2.2903125931240813e-11,-1.909887686224465e-06,7.86556957348989e-09
no_latent,Q2,L,3240.0,232.6845622928464,232.6845622928464,0.0,232.68456543652627,0.0,0.0,232.68456543652627,-3.1436798622053175e-06,-3.1436798622053175e-06,313.3040075141664,1.9390380453043856,0.0,3.7953659788203643e-11,-3.1436798622053175e-06,1.3510478687349282e-08
