scenario,scenario_label,question,level,time_level,refinement_axis,nr,nz,dt_s,duration_s,status,runtime_s,final_max_C,final_mean_C,reported_event_time_s,interpolated_event_time_s,candidate_temperature_range_C,max_linear_relative_residual,normalized_moisture_balance_error,latent_integral_J_est,latent_peak_power_W,latent_mass_closure,proxy_scale,L_v_J_per_kg,latent_product_Lv_scale,water_balance_max_abs_kg_s,proxy_boundary_loss_max_kg_s,water_trace_count,max_physical_heat_balance_relative,max_physical_heat_balance_residual_J
nominal_proxy,名义等效潜热近似,Q3,M,M,space,12,12,300.0,259200.0,PASS,19.73236569999426,0.14998783501419963,0.12274487040200069,240900.0,240859.60296160428,52.14675445891851,4.9984291050589546e-11,1.0564068848134074e-09,590307.5056294391,44.41832263691597,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,2400000.0,2400000.0,2.199286149788364e-14,1.850763443204832e-05,803,1.2447970021619106e-07,4.380029849926359e-06
nominal_proxy,名义等效潜热近似,Q3,H,M,space,18,18,300.0,259200.0,PASS,25.177884600008838,0.14994671394956102,0.12206202128468983,237420.0,237415.44380091064,52.104007839716246,4.999999339731119e-11,5.583227592780763e-10,590231.0921407096,44.65403980854068,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,2400000.0,2400000.0,1.7884512840409157e-14,1.8605849920225282e-05,792,8.506420915202137e-08,3.6790102058148477e-06
nominal_proxy,名义等效潜热近似,Q4,L,M,space,8,8,300.0,259200.0,PASS,14.360865299997386,0.14990173305482765,0.11721582381773198,250920.0,250897.32003276935,47.75780474985447,5.0000062389614876e-11,6.431478342831645e-10,750854.5300191601,41.77530500052098,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,2400000.0,2400000.0,1.4666303483907694e-14,1.740637708355041e-05,837,4.361469756538214e-08,3.2147977435670327e-06
nominal_proxy,名义等效潜热近似,Q4,M,M,space,12,12,300.0,259200.0,PASS,48.643321199997445,0.14986862960211755,0.11646673112127366,246360.0,246336.21787802817,47.58436583583716,4.9997782146809367e-11,5.387376525696997e-10,750360.4639479689,44.80059955390941,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,2400000.0,2400000.0,1.659095461654849e-14,1.8666916480795585e-05,822,5.345503783829724e-08,3.2975408430502284e-06
nominal_proxy,名义等效潜热近似,Q4,H,M,space,18,18,300.0,259200.0,PASS,101.26338730000134,0.14988962783165438,0.11607588583513537,244320.0,244281.47612926477,47.349998968600175,4.999655482610866e-11,1.1448899509463529e-09,749833.2124681805,46.32515489073606,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,2400000.0,2400000.0,1.7635004039202352e-14,1.9302147871140025e-05,815,5.213784156729933e-08,3.4598899674165295e-06
low_proxy,低档等效潜热近似,Q2,M,M,sensitivity,12,12,120.0,10800.0,PASS,10.374135400008527,2.3317877094906163,1.5732821234633487,,,18.36547767635807,4.994737640259047e-11,9.525362460813978e-10,117877.1439200322,23.60979730120413,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,1200000.0,1200000.0,2.1368896371354654e-14,1.9674831084336775e-05,90,2.5013398235953943e-09,3.1721194773126626e-06
low_proxy,低档等效潜热近似,Q3,M,M,sensitivity,12,12,300.0,259200.0,PASS,39.71969519999402,0.14997213592279332,0.1228319678658811,226740.0,226702.98968877847,36.38291172718698,4.999839375977449e-11,5.725272775078087e-10,294601.4484163275,22.209161318457983,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,1200000.0,1200000.0,1.388880601239234e-14,1.850763443204832e-05,756,1.8817900014343583e-07,4.46512240159791e-06
low_proxy,低档等效潜热近似,Q4,M,M,sensitivity,12,12,300.0,259200.0,PASS,15.798457700002473,0.14986456171541854,0.11667274595859844,216660.0,216629.83714615303,34.179812613091826,4.9990058522358063e-11,7.696323958502654e-10,374038.67123534426,22.400299776954704,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,1200000.0,1200000.0,2.0052203983638578e-14,1.8666916480795585e-05,723,1.0949212834982675e-07,3.2293778531311546e-06
high_proxy,高档等效潜热近似,Q2,M,M,sensitivity,12,12,120.0,10800.0,PASS,1.8363735000020824,2.549718567812383,1.979098798722287,,,51.32819820993382,4.989412290832545e-11,2.3013338807270585e-09,276543.7591555308,94.43918920481651,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,4800000.0,4800000.0,2.869717894441121e-14,1.9674831084336775e-05,90,9.224181687120348e-10,2.97922684922014e-06
high_proxy,高档等效潜热近似,Q3,M,M,sensitivity,12,12,300.0,259200.0,PASS,19.409332199997152,0.15270025454462338,0.12444975831053941,,,69.75772742722023,4.999880495966141e-11,7.809768126598772e-10,1184342.0240266134,88.83664527383193,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,4800000.0,4800000.0,9.408927528428441e-15,1.850763443204832e-05,864,6.657253803348386e-08,4.234571633787709e-06
