model,bound_fraction,release_tau_s,question,time_s,dt_s,rho_d_kg_m3,liquid_inventory_old_kg,bound_inventory_old_kg,liquid_inventory_new_kg,bound_inventory_new_kg,total_inventory_old_kg,total_inventory_new_kg,delta_total_inventory_kg,boundary_net_in_kg_s,expected_delta_from_boundary_kg,water_balance_residual_kg,release_to_liquid_kg_s,liquid_min_C,bound_min_C,total_min_C,phase_split_residual_C,dry_solid_inventory_relative_error,solver_relative_residual
M0,0.0,0.0,Q2,1320.0,120.0,650.0,0.2400810273040058,0.0,0.23829312945250544,0.0,0.2400810273040058,0.23829312945250544,-0.001787897851500353,-1.4899148741629003e-05,-0.0017878978489954804,-2.5048726114140774e-12,0.0,1.3799903882116495,0.0,1.3799903882116495,0.0,0.0,2.8171273122340914e-11
M0,0.0,0.0,Q2,1440.0,120.0,650.0,0.23829312945250544,0.0,0.2365314847676668,0.0,0.23829312945250544,0.2365314847676668,-0.001761644684838637,-1.4680372351823393e-05,-0.0017616446822188072,-2.6198297004009774e-12,0.0,1.344232394424705,0.0,1.344232394424705,0.0,0.0,2.899795583958689e-11
M0,0.0,0.0,Q2,1560.0,120.0,650.0,0.2365314847676668,0.0,0.23479410703817338,0.0,0.2365314847676668,0.23479410703817338,-0.0017373777294934223,-1.4478147724196514e-05,-0.0017373777269035816,-2.5898406683100283e-12,0.0,1.3119350691097578,0.0,1.3119350691097578,0.0,0.0,2.869291476148503e-11
M0,0.0,0.0,Q2,1680.0,120.0,650.0,0.23479410703817338,0.0,0.23307927987313787,0.0,0.23479410703817338,0.23307927987313787,-0.0017148271650355151,-1.4290226354420859e-05,-0.001714827162530503,-2.505012039813459e-12,0.0,1.282529068656808,0.0,1.282529068656808,0.0,0.0,2.8288683462489947e-11
M0,0.0,0.0,Q2,1800.0,120.0,650.0,0.23307927987313787,0.0,0.23138517366845016,0.0,0.23307927987313787,0.23138517366845016,-0.001694106204687712,-1.4117551678770096e-05,-0.0016941062014524115,-3.2353004823792997e-12,0.0,1.2560048142398728,0.0,1.2560048142398728,0.0,0.0,4.293003862563633e-11
M0,0.0,0.0,Q2,1920.0,120.0,650.0,0.23138517366845016,0.0,0.22971075427311743,0.0,0.23138517366845016,0.22971075427311743,-0.0016744193953327213,-1.3953494939298574e-05,-0.001674419392715829,-2.6168923798752797e-12,0.0,1.231524276608772,0.0,1.231524276608772,0.0,0.0,3.3010203256188006e-11
M0,0.0,0.0,Q2,2040.0,120.0,650.0,0.22971075427311743,0.0,0.2280545250121248,0.0,0.22971075427311743,0.2280545250121248,-0.0016562292609926255,-1.3801910486368854e-05,-0.0016562292583642624,-2.628363022019742e-12,0.0,1.2089702126427835,0.0,1.2089702126427835,0.0,0.0,4.095992004763158e-11
M0,0.0,0.0,Q2,2160.0,120.0,650.0,0.2280545250121248,0.0,0.22641571599055021,0.0,0.2280545250121248,0.22641571599055021,-0.0016388090215745943,-1.3656741831398977e-05,-0.0016388090197678772,-1.8067171023150586e-12,0.0,1.1878760996823687,0.0,1.1878760996823687,0.0,0.0,3.5213675117116595e-11
M0,0.0,0.0,Q2,2280.0,120.0,650.0,0.22641571599055021,0.0,0.2247934057734206,0.0,0.22641571599055021,0.2247934057734206,-0.0016223102171296078,-1.3519251796879856e-05,-0.0016223102156255828,-1.504024986151431e-12,0.0,1.1682239555265796,0.0,1.1682239555265796,0.0,0.0,4.1330120648137355e-11
M0,0.0,0.0,Q2,2400.0,120.0,650.0,0.2247934057734206,0.0,0.2231863168271921,0.0,0.2247934057734206,0.2231863168271921,-0.0016070889462285187,-1.3392407874677304e-05,-0.0016070889449612766,-1.2672421705745007e-12,0.0,1.1498570492358944,0.0,1.1498570492358944,0.0,0.0,4.621705692847278e-11
M0,0.0,0.0,Q2,2520.0,120.0,650.0,0.2231863168271921,0.0,0.22159389160440074,0.0,0.2231863168271921,0.22159389160440074,-0.0015924252227913493,-1.3270210182526569e-05,-0.0015924252219031883,-8.881610724653655e-13,0.0,1.1326795151762281,0.0,1.1326795151762281,0.0,0.0,4.944182622082491e-11
M0,0.0,0.0,Q2,2640.0,120.0,650.0,0.22159389160440074,0.0,0.2200155083458101,0.0,0.22159389160440074,0.2200155083458101,-0.0015783832585906377,-1.315319381921604e-05,-0.0015783832583059249,-2.8471279153730045e-13,0.0,1.1164852367227451,0.0,1.1164852367227451,0.0,0.0,4.75725712556128e-11
M0,0.0,0.0,Q2,2760.0,120.0,650.0,0.2200155083458101,0.0,0.2184507562277148,0.0,0.2200155083458101,0.2184507562277148,-0.001564752118095314,-1.3039600990780335e-05,-0.0015647521188936401,7.983262488575615e-13,0.0,1.1008528475817851,0.0,1.1008528475817851,0.0,0.0,3.6712285752256586e-11
M0,0.0,0.0,Q2,2880.0,120.0,650.0,0.2184507562277148,0.0,0.21689889492872283,0.0,0.2184507562277148,0.21689889492872283,-0.0015518612989919578,-1.293217750147278e-05,-0.0015518613001767336,1.1847758017713428e-12,0.0,1.0860182760422616,0.0,1.0860182760422616,0.0,0.0,4.1194270452127945e-11
M0,0.0,0.0,Q2,3000.0,120.0,650.0,0.21689889492872283,0.0,0.21535980961353993,0.0,0.21689889492872283,0.21535980961353993,-0.0015390853151829031,-1.2825710975725813e-05,-0.0015390853170870976,1.904194467036713e-12,0.0,1.0715675554778359,0.0,1.0715675554778359,0.0,0.0,3.2463103268017276e-11
M0,0.0,0.0,Q2,3120.0,120.0,650.0,0.21535980961353993,0.0,0.2138328591262375,0.0,0.21535980961353993,0.2138328591262375,-0.0015269504873024198,-1.2724587383028385e-05,-0.0015269504859634062,-1.3390135354673927e-12,0.0,1.057928139896555,0.0,1.057928139896555,0.0,0.0,3.593364748154299e-11
M0,0.0,0.0,Q2,3240.0,120.0,650.0,0.2138328591262375,0.0,0.21231806098404038,0.0,0.2138328591262375,0.21231806098404038,-0.0015147981421971268,-1.2623317843957326e-05,-0.001514798141274879,-9.222477382470062e-13,0.0,1.0447851092669884,0.0,1.0447851092669884,0.0,0.0,3.250763901408531e-11
