model,bound_fraction,release_tau_s,question,time_s,dt_s,L_v_J_per_kg,surface_gasification_rate_kg_s,latent_power_W,cumulative_latent_energy_J,outer_gasification_max_kg_m2_s,z0_gasification_max_kg_m2_s,z1_gasification_max_kg_m2_s,liquid_inventory_kg,bound_inventory_kg,release_to_liquid_kg_s,heat_boundary_in_W,heat_solver_relative_residual,latent_enabled
M0,0.0,0.0,Q2,2040.0,120.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2280545250121248,0.0,0.0,2.3693467092858946,3.135554223022408e-11,False
M0,0.0,0.0,Q2,2160.0,120.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22641571599055021,0.0,0.0,2.304180418763598,2.9269669137143427e-11,False
M0,0.0,0.0,Q2,2280.0,120.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2247934057734206,0.0,0.0,2.297660579905347,2.977120830009719e-11,False
M0,0.0,0.0,Q2,2400.0,120.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2231863168271921,0.0,0.0,2.296607425893858,3.032200544900211e-11,False
M0,0.0,0.0,Q2,2520.0,120.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22159389160440074,0.0,0.0,2.292286948858763,3.0816435549270894e-11,False
M0,0.0,0.0,Q2,2640.0,120.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2200155083458101,0.0,0.0,2.259418296138183,3.001953538918812e-11,False
M0,0.0,0.0,Q2,2760.0,120.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2184507562277148,0.0,0.0,2.13503235036663,2.578887001083549e-11,False
M0,0.0,0.0,Q2,2880.0,120.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21689889492872283,0.0,0.0,2.126242237702908,2.6433828172468608e-11,False
M0,0.0,0.0,Q2,3000.0,120.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21535980961353993,0.0,0.0,1.9896992469718184,2.2228350433926737e-11,False
M0,0.0,0.0,Q2,3120.0,120.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2138328591262375,0.0,0.0,2.022617806916773,2.4438041096461478e-11,False
M0,0.0,0.0,Q2,3240.0,120.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21231806098404038,0.0,0.0,1.9379395049998625,2.2025931634721434e-11,False
M0,0.0,0.0,Q2,3360.0,120.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21081486017661594,0.0,0.0,1.8305502682857604,3.439945940314547e-11,False
M0,0.0,0.0,Q2,3480.0,120.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2093230791667361,0.0,0.0,1.7160614101890153,2.9715458019056545e-11,False
M0,0.0,0.0,Q2,3600.0,120.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20784208170100685,0.0,0.0,1.7368962847120624,3.138762478753642e-11,False
M0,0.0,0.0,Q2,3720.0,120.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20637209764230027,0.0,0.0,1.6471258743472057,2.837521045347391e-11,False
