model,bound_fraction,release_tau_s,question,level,dt_level,nr,nz,dt_s,duration_s,status,event_status,reported_event_time_s,interpolated_event_time_s,final_time_s,final_max_total_C,final_mean_total_C,final_center_total_C,final_surface_total_C,temperature_min_C,temperature_max_C,temperature_profile_min_C,temperature_profile_max_C,min_liquid_C,min_bound_C,min_total_C,all_water_nonnegative,max_water_balance_abs_kg,max_phase_split_residual_C,final_liquid_inventory_kg,final_bound_inventory_kg,final_total_inventory_kg,initial_total_inventory_kg,latent_total_energy_J,latent_peak_power_W,latent_peak_gasification_kg_s,max_solver_relative_residual,max_picard_iterations,max_picard_update,stable_numeric,latent_definition,notes,error
M0,0.0,0.0,Q2,M,M,12,12,120.0,10800.0,PASS,NOT_REACHED_HORIZON,,,10800.0,1.7648196126969389,1.3323227805316495,1.7648196126969389,1.0096453823125666,49.8042071880713,50.05336491696829,49.80401789108163,49.938338439070606,0.518308295634793,0.0,0.518308295634793,True,3.88634437131774e-12,0.0,0.13603250243467807,0.0,0.13603250243467807,0.26035949116625406,0.0,0.0,0.0,4.996502523051529e-11,5,9.89756472336012e-08,True,none,M0/M1/M2 are local three-water candidates layered over the frozen appendix solver; they are not upstream H2 M1/M2 names.,
M1,0.0,0.0,Q2,M,M,12,12,120.0,10800.0,PASS,NOT_REACHED_HORIZON,,,10800.0,2.520564605003801,1.7563661375405664,2.520564605003801,0.726419281917904,13.4287555936898,24.190473770673748,13.428241580493307,14.994799915128965,0.34264708508864195,0.0,0.34264708508864195,True,6.291063590208035e-13,0.0,0.179328076028118,0.0,0.179328076028118,0.26035949116625406,194475.39635179722,43.55306781716819,1.8147111590486747e-05,4.9997627911246243e-11,31,9.898030839394778e-08,True,positive liquid-water surface gasification flux times nominal Lv,M0/M1/M2 are local three-water candidates layered over the frozen appendix solver; they are not upstream H2 M1/M2 names.,
M2,0.0,1800.0,Q2,M,M,12,12,120.0,10800.0,PASS,NOT_REACHED_HORIZON,,,10800.0,2.520564605003801,1.7563661375405664,2.520564605003801,0.726419281917904,13.4287555936898,24.190473770673748,13.428241580493307,14.994799915128965,0.34264708508864195,0.0,0.34264708508864195,True,6.291063590208035e-13,0.0,0.179328076028118,0.0,0.179328076028118,0.26035949116625406,194475.39635179722,43.55306781716819,1.8147111590486747e-05,4.9997627911246243e-11,31,9.898030839394778e-08,True,positive liquid-water surface gasification flux times nominal Lv,M0/M1/M2 are local three-water candidates layered over the frozen appendix solver; they are not upstream H2 M1/M2 names.,
M2,0.0,7200.0,Q2,M,M,12,12,120.0,10800.0,PASS,NOT_REACHED_HORIZON,,,10800.0,2.520564605003801,1.7563661375405664,2.520564605003801,0.726419281917904,13.4287555936898,24.190473770673748,13.428241580493307,14.994799915128965,0.34264708508864195,0.0,0.34264708508864195,True,6.291063590208035e-13,0.0,0.179328076028118,0.0,0.179328076028118,0.26035949116625406,194475.39635179722,43.55306781716819,1.8147111590486747e-05,4.9997627911246243e-11,31,9.898030839394778e-08,True,positive liquid-water surface gasification flux times nominal Lv,M0/M1/M2 are local three-water candidates layered over the frozen appendix solver; they are not upstream H2 M1/M2 names.,
M2,0.0,21600.0,Q2,M,M,12,12,120.0,10800.0,PASS,NOT_REACHED_HORIZON,,,10800.0,2.520564605003801,1.7563661375405664,2.520564605003801,0.726419281917904,13.4287555936898,24.190473770673748,13.428241580493307,14.994799915128965,0.34264708508864195,0.0,0.34264708508864195,True,6.291063590208035e-13,0.0,0.179328076028118,0.0,0.179328076028118,0.26035949116625406,194475.39635179722,43.55306781716819,1.8147111590486747e-05,4.9997627911246243e-11,31,9.898030839394778e-08,True,positive liquid-water surface gasification flux times nominal Lv,M0/M1/M2 are local three-water candidates layered over the frozen appendix solver; they are not upstream H2 M1/M2 names.,
M2,0.1,1800.0,Q2,M,M,12,12,120.0,10800.0,PASS,NOT_REACHED_HORIZON,,,10800.0,2.52113453953317,1.7608145737185028,2.52113453953317,0.7288623843712818,13.307693200787696,24.04599483756118,13.307176198588252,14.884493178604146,0.34532533892778083,0.0006320818050499236,0.34595742073283076,True,6.130062820200455e-13,2.220446049250313e-16,0.17971773253111206,6.453666554441002e-05,0.17978226919665646,0.26035949116625406,193385.33274641234,39.83213501795401,1.6596722924147504e-05,4.9999846598501766e-11,29,9.944096746039577e-08,True,positive liquid-water surface gasification flux times nominal Lv,M0/M1/M2 are local three-water candidates layered over the frozen appendix solver; they are not upstream H2 M1/M2 names.,
M2,0.1,7200.0,Q2,M,M,12,12,120.0,10800.0,PASS,NOT_REACHED_HORIZON,,,10800.0,2.5180916802116102,1.775187971314288,2.5180916802116102,0.7773007798563524,13.598076277291227,23.857598314314373,13.59757816409848,15.089794968994681,0.3578264152200327,0.05689819083784966,0.41472460605788236,True,2.464591898621027e-12,2.220446049250313e-16,0.1754404129102039,0.005809405496009003,0.1812498184062129,0.26035949116625406,189863.21464914255,39.6388144882877,1.651617270345321e-05,4.996198990387049e-11,29,9.971017789212056e-08,True,positive liquid-water surface gasification flux times nominal Lv,M0/M1/M2 are local three-water candidates layered over the frozen appendix solver; they are not upstream H2 M1/M2 names.,
M2,0.1,21600.0,Q2,M,M,12,12,120.0,10800.0,PASS,NOT_REACHED_HORIZON,,,10800.0,2.5139046217870185,1.7900057214966834,2.5139046217870185,0.8488319229601782,14.527147892260189,24.410874636772576,14.526639736952575,15.9708800260928,0.3560581158674028,0.15466531822672128,0.5107234340941241,True,2.416428602353138e-12,2.220446049250313e-16,0.16697113540352312,0.015791601393951343,0.1827627367974745,0.26035949116625406,186232.2105092809,39.59449137410476,1.649770473921032e-05,4.999973950713445e-11,29,9.963747515939758e-08,True,positive liquid-water surface gasification flux times nominal Lv,M0/M1/M2 are local three-water candidates layered over the frozen appendix solver; they are not upstream H2 M1/M2 names.,
M2,0.2,1800.0,Q2,M,M,12,12,120.0,10800.0,PASS,NOT_REACHED_HORIZON,,,10800.0,2.521737742903428,1.7655598902612915,2.521737742903428,0.7314179774474296,13.17920525641756,23.893656268268558,13.178685099324866,14.767464709755473,0.34812190245612695,0.0012641636100998472,0.3493860660662268,True,6.24616677824541e-13,2.220446049250313e-16,0.1801377010422356,0.00012907333108882005,0.18026677437332442,0.26035949116625406,192222.5203218241,36.018019785579234,1.5007508243991349e-05,4.999891287861301e-11,27,9.829182090470567e-08,True,positive liquid-water surface gasification flux times nominal Lv,M0/M1/M2 are local three-water candidates layered over the frozen appendix solver; they are not upstream H2 M1/M2 names.,
M2,0.2,7200.0,Q2,M,M,12,12,120.0,10800.0,PASS,NOT_REACHED_HORIZON,,,10800.0,2.515432069980937,1.7955987223106527,2.515432069980937,0.828873980271757,13.760586988497437,23.564380100341054,13.760106877886017,15.175546304795091,0.37135390055039047,0.11379638167569932,0.4851502822260898,True,2.5846111275512618e-12,2.220446049250313e-16,0.1717149810391889,0.011618810992018006,0.18333379203120687,0.26035949116625406,184861.6779488405,35.62180170363225,1.4842417376513438e-05,4.999940348097957e-11,25,9.829574310060707e-08,True,positive liquid-water surface gasification flux times nominal Lv,M0/M1/M2 are local three-water candidates layered over the frozen appendix solver; they are not upstream H2 M1/M2 names.,
