scope,family,level,nr,nz,fixed_dt_s,metric,value,adjacent_change,runtime_s
Q2,M3,1,42,36,5.0,final_max_C,1.7275318515585587,,4.644432000000961
Q2,M3,2,62,36,5.0,final_max_C,1.7277178063454934,0.0001859547869347,6.712676600000123
Q2,M3,3,93,36,5.0,final_max_C,1.727806380573958,8.857422846442198e-05,11.286390799999936
Q2,M3,4,140,36,5.0,final_max_C,1.7278463919704832,4.001139652531904e-05,19.97604620000129
Q2,M3,5,175,36,5.0,final_max_C,1.7278578648666212,1.1472896138009505e-05,36.358521300000575
Q2,M3,6,210,36,5.0,final_max_C,1.7278641290474162,6.264180794968155e-06,45.86329750000005
