material,angle_deg,file,window,window_low_cm_inv,window_high_cm_inv,mask,model,n_points,q_um,status,ambiguity,cycles,peak_width_per_cm_inv,q_bin_resolution_um,grid_step_cm_inv,nfft,rmse,residual_lag1,boundary_hit,runtime_s
SiC,15,附件2.xlsx,W3,2800.0,3800.0,raw,B,2074,1114.747147921053,OK_CONDITIONAL,0.9696966441501329,222.82190251048843,,,,,,,,0.00013899998157285154
SiC,15,附件2.xlsx,W3,2800.0,3800.0,raw,F,2074,20.00179782681621,OK_CONDITIONAL,0.022232149883282554,3.9980713596918545,0.0020001797826816217,5.002861636856283,0.4821167390255141,2074,,,,0.00016250001499429345
SiC,15,附件2.xlsx,W3,2800.0,3800.0,raw,P,2074,19.4917519822324,OK_CONDITIONAL,,,,,,,0.05355889218877312,0.9600591801744424,False,0.022603100020205602
SiC,15,附件2.xlsx,W3,2800.0,3800.0,reasoned,B,2074,1114.747147921053,OK_CONDITIONAL,0.9696966441501329,222.82190251048843,,,,,,,,0.00015089998487383127
SiC,15,附件2.xlsx,W3,2800.0,3800.0,reasoned,F,2074,20.00179782681621,OK_CONDITIONAL,0.022232149883282554,3.9980713596918545,0.0020001797826816217,5.002861636856283,0.4821167390255141,2074,,,,0.00016070000128820539
SiC,15,附件2.xlsx,W3,2800.0,3800.0,reasoned,P,2074,19.4917519822324,OK_CONDITIONAL,,,,,,,0.05355889218877312,0.9600591801744424,False,0.02271580000524409
Si,10,附件3.xlsx,W1,600.0,1600.0,raw,B,2074,13.157497005185823,OK_CONDITIONAL,0.11606168292716422,2.629993393929951,,,,,,,,0.00019439999596215785
Si,10,附件3.xlsx,W1,600.0,1600.0,raw,F,2074,15.001352873092902,OK_CONDITIONAL,0.10259112141968083,2.998553519768726,0.0020001803830790536,5.002863138574206,0.48211659430774034,2074,,,,0.00017980000120587647
Si,10,附件3.xlsx,W1,600.0,1600.0,raw,P,2074,13.246194586941034,OK_CONDITIONAL,,,,,,,6.205832104142155,0.9998742561553331,False,0.02246840001316741
Si,10,附件3.xlsx,W1,600.0,1600.0,reasoned,B,2074,13.157497005185823,OK_CONDITIONAL,0.11606168292716422,2.629993393929951,,,,,,,,0.00013669999316334724
Si,10,附件3.xlsx,W1,600.0,1600.0,reasoned,F,2074,15.001352873092902,OK_CONDITIONAL,0.10259112141968083,2.998553519768726,0.0020001803830790536,5.002863138574206,0.48211659430774034,2074,,,,0.0001598999951966107
Si,10,附件3.xlsx,W1,600.0,1600.0,reasoned,P,2074,13.246194586941034,OK_CONDITIONAL,,,,,,,6.205832104142155,0.9998742561553331,False,0.022043800010578707
Si,10,附件3.xlsx,W2,1600.0,2800.0,raw,B,2489,11.652487054980323,OK_CONDITIONAL,0.08476903040774302,2.795447957971657,,,,,,,,0.00016229998436756432
Si,10,附件3.xlsx,W2,1600.0,2800.0,raw,F,2489,12.500113366015661,OK_CONDITIONAL,0.016609494271760176,2.9987946966658696,0.0016666817821354215,4.168379175778049,0.48211696141470384,2489,,,,0.00020760000916197896
Si,10,附件3.xlsx,W2,1600.0,2800.0,raw,P,2489,11.712606223956675,OK_CONDITIONAL,,,,,,,1.409950208223867,0.9998982468761687,False,0.025128700013738126
Si,10,附件3.xlsx,W2,1600.0,2800.0,reasoned,B,2489,11.652487054980323,OK_CONDITIONAL,0.08476903040774302,2.795447957971657,,,,,,,,0.00015740000526420772
Si,10,附件3.xlsx,W2,1600.0,2800.0,reasoned,F,2489,12.500113366015661,OK_CONDITIONAL,0.016609494271760176,2.9987946966658696,0.0016666817821354215,4.168379175778049,0.48211696141470384,2489,,,,0.0001897999900393188
Si,10,附件3.xlsx,W2,1600.0,2800.0,reasoned,P,2489,11.712606223956675,OK_CONDITIONAL,,,,,,,1.409950208223867,0.9998982468761687,False,0.028838800004450604
Si,10,附件3.xlsx,W3,2800.0,3800.0,raw,B,2074,396.90665090720614,OK_CONDITIONAL,0.9226619742655328,79.33592406057744,,,,,,,,0.00015999999595806003
Si,10,附件3.xlsx,W3,2800.0,3800.0,raw,F,2074,10.000898913408106,OK_CONDITIONAL,0.010260972260877802,1.9990356798459272,0.0020001797826816213,5.002861636856283,0.4821167390255141,2074,,,,0.00017369998386129737
Si,10,附件3.xlsx,W3,2800.0,3800.0,raw,P,2074,11.62104453738022,OK_CONDITIONAL,,,,,,,0.18335422308773244,0.9967564498217305,False,0.022110299993073568
Si,10,附件3.xlsx,W3,2800.0,3800.0,reasoned,B,2074,396.90665090720614,OK_CONDITIONAL,0.9226619742655328,79.33592406057744,,,,,,,,0.00014620000729337335
Si,10,附件3.xlsx,W3,2800.0,3800.0,reasoned,F,2074,10.000898913408106,OK_CONDITIONAL,0.010260972260877802,1.9990356798459272,0.0020001797826816213,5.002861636856283,0.4821167390255141,2074,,,,0.00021520000882446766
Si,10,附件3.xlsx,W3,2800.0,3800.0,reasoned,P,2074,11.62104453738022,OK_CONDITIONAL,,,,,,,0.18335422308773244,0.9967564498217305,False,0.021930999995674938
Si,15,附件4.xlsx,W1,600.0,1600.0,raw,B,2074,12.303782653023466,OK_CONDITIONAL,0.055432276891427434,2.459348239642228,,,,,,,,0.0001412999990861863
Si,15,附件4.xlsx,W1,600.0,1600.0,raw,F,2074,15.001352873092902,OK_CONDITIONAL,0.10506853008603174,2.998553519768726,0.0020001803830790536,5.002863138574206,0.48211659430774034,2074,,,,0.0001765000051818788
Si,15,附件4.xlsx,W1,600.0,1600.0,raw,P,2074,13.201190528321753,OK_CONDITIONAL,,,,,,,6.9477940617109155,0.9998751154660285,False,0.02194109998526983
Si,15,附件4.xlsx,W1,600.0,1600.0,reasoned,B,2074,12.303782653023466,OK_CONDITIONAL,0.055432276891427434,2.459348239642228,,,,,,,,0.0001345000055152923
Si,15,附件4.xlsx,W1,600.0,1600.0,reasoned,F,2074,15.001352873092902,OK_CONDITIONAL,0.10506853008603174,2.998553519768726,0.0020001803830790536,5.002863138574206,0.48211659430774034,2074,,,,0.00015800000983290374
Si,15,附件4.xlsx,W1,600.0,1600.0,reasoned,P,2074,13.201190528321753,OK_CONDITIONAL,,,,,,,6.9477940617109155,0.9998751154660285,False,0.022062199976062402
Si,15,附件4.xlsx,W2,1600.0,2800.0,raw,B,2489,11.97163919522746,OK_CONDITIONAL,0.023338198662713094,2.8720130032299416,,,,,,,,0.00016010002582333982
Si,15,附件4.xlsx,W2,1600.0,2800.0,raw,F,2489,12.500113366015661,OK_CONDITIONAL,0.028300361978539083,2.9987946966658696,0.0016666817821354215,4.168379175778049,0.48211696141470384,2489,,,,0.00018259999342262745
Si,15,附件4.xlsx,W2,1600.0,2800.0,raw,P,2489,11.675105883858627,OK_CONDITIONAL,,,,,,,1.55914805458283,0.9999026278521164,False,0.026889100001426414
Si,15,附件4.xlsx,W2,1600.0,2800.0,reasoned,B,2489,11.97163919522746,OK_CONDITIONAL,0.023338198662713094,2.8720130032299416,,,,,,,,0.00016379999578930438
Si,15,附件4.xlsx,W2,1600.0,2800.0,reasoned,F,2489,12.500113366015661,OK_CONDITIONAL,0.028300361978539083,2.9987946966658696,0.0016666817821354215,4.168379175778049,0.48211696141470384,2489,,,,0.0001996000064536929
Si,15,附件4.xlsx,W2,1600.0,2800.0,reasoned,P,2489,11.675105883858627,OK_CONDITIONAL,,,,,,,1.55914805458283,0.9999026278521164,False,0.025470599997788668
Si,15,附件4.xlsx,W3,2800.0,3800.0,raw,B,2074,183.09463832099718,OK_CONDITIONAL,0.9543367533748157,36.59798163757551,,,,,,,,0.00015930001973174512
Si,15,附件4.xlsx,W3,2800.0,3800.0,raw,F,2074,10.000898913408106,OK_CONDITIONAL,0.007897052746958998,1.9990356798459272,0.0010000898913408106,5.002861636856283,0.4821167390255141,2074,,,,0.00016869997489266098
Si,15,附件4.xlsx,W3,2800.0,3800.0,raw,P,2074,11.54603779552966,OK_CONDITIONAL,,,,,,,0.21224905075099657,0.9974542860977518,False,0.022395500011043623
Si,15,附件4.xlsx,W3,2800.0,3800.0,reasoned,B,2074,183.09463832099718,OK_CONDITIONAL,0.9543367533748157,36.59798163757551,,,,,,,,0.0001587000151630491
Si,15,附件4.xlsx,W3,2800.0,3800.0,reasoned,F,2074,10.000898913408106,OK_CONDITIONAL,0.007897052746958998,1.9990356798459272,0.0010000898913408106,5.002861636856283,0.4821167390255141,2074,,,,0.00018730000010691583
Si,15,附件4.xlsx,W3,2800.0,3800.0,reasoned,P,2074,11.54603779552966,OK_CONDITIONAL,,,,,,,0.21224905075099657,0.9974542860977518,False,0.02446709998184815
