scope,model,runs,ok_runs,failure_rate,recovery_pass_rate,median_relative_error,max_relative_error,q_min_um,q_max_um
synthetic,B,144,144,0.0,0.4583333333333333,57.20844726006604,803.5674426639778,,
observed,B,24,24,0.0,,,,8.016579374682749,2918.3298517536928
synthetic,F,144,144,0.0,1.0,0.020883152687082608,1.0001803830790537,,
observed,F,24,24,0.0,,,,10.0002043531535,20.83352227669277
synthetic,P,144,108,0.25,0.75,9.019153952678493e-05,0.00105074539508756,,
observed,P,24,24,0.0,,,,8.140166343466948,19.958514341071673
