time_s,radius_m,max_C,min_C,mean_C,center_C,surface_C,center_T_C,surface_T_C
0.0,0.02,2.55,2.55,2.55,2.5499999999999994,2.3781336329492673,27.999999999999943,27.999999999999886
3600.0,0.02,2.5003992477771764,1.0929279136965895,2.0400396633453446,2.5003992477771764,1.480822618197766,40.434343339072996,43.03571174299276
7200.0,0.02,2.1532260919523236,0.7836835341681093,1.65059513765395,2.1532260919523236,1.2356635264105262,48.334391117174164,48.93473226069881
10800.0,0.02,1.7632500528765458,0.5692746777996105,1.338473348111861,1.7632500528765458,1.0119997585046918,49.76158628188449,49.8993917469968
14400.0,0.02,1.4545990563495597,0.41462192521341956,1.0916718852654637,1.4545990563495597,0.8209926329310447,50.02472792087474,50.074924653653
18000.0,0.02,1.21259916480743,0.302740602067851,0.8976680974604914,1.21259916480743,0.6644416455782061,50.002997294928036,50.00125827061885
21600.0,0.02,1.0208487191110949,0.22324833098110455,0.7454695802469968,1.0208487191110949,0.538720893682857,49.9991879845814,49.99907640046456
25200.0,0.02,0.8682021118606785,0.16906675366969853,0.626181030241389,0.8682021118606785,0.4379141941665213,49.99894793556814,49.998941833445315
28800.0,0.02,0.7465683037395459,0.1348668473864316,0.5328007784527478,0.7465683037395459,0.35708725615810444,49.99893504814003,49.998934760942916
32400.0,0.02,0.649572655948254,0.114432796587128,0.4598146639038452,0.649572655948254,0.2923152659487653,49.99893446629534,49.998934449503565
36000.0,0.02,0.5721096270987669,0.10197805879642133,0.40287435983846864,0.5721096270987669,0.24053693380201527,49.998934439687446,49.99893443398912
39600.0,0.02,0.5100792510830316,0.09389177334206927,0.358516335173366,0.5100792510830316,0.19940269316710435,49.99893443065463,49.99893442873923
43200.0,0.02,0.4601956524405985,0.08829708233874646,0.3239403316881085,0.4601956524405985,0.16710730481263597,49.998934427649544,49.99893442702364
46800.0,0.02,0.4198392018765647,0.0842174602192288,0.2968665292355862,0.4198392018765647,0.14218280093938004,49.99893442667576,49.998934426476126
50400.0,0.02,0.38693777247228495,0.08111378615166664,0.27545848968435627,0.38693777247228495,0.12329336538946212,49.998934426366986,49.9989344263048
54000.0,0.02,0.35986753255060167,0.07867004534895523,0.2582812271839457,0.35986753255060167,0.10914728060393263,49.99893442627126,49.99893442625222
57600.0,0.02,0.33736756772887677,0.07669125213873708,0.2442570621611487,0.33736756772887677,0.09856120972984476,49.99893442624199,49.99893442623613
61200.0,0.02,0.3184658884952645,0.07505166108282392,0.23260234554213247,0.3184658884952645,0.09056171908573472,49.99893442623318,49.99893442623153
64800.0,0.02,0.30241636737020394,0.07366699291052738,0.22275562342624947,0.30241636737020394,0.08441942437718254,49.99893442623056,49.99893442623005
68400.0,0.02,0.2886466198414353,0.07247882668820778,0.21431382380199604,0.2886466198414353,0.07961704367467559,49.99893442623005,49.99893442622988
72000.0,0.02,0.27671635678130124,0.0714454589371302,0.20698383741737458,0.27671635678130124,0.07579519866274385,49.99893442623005,49.99893442622982
75600.0,0.02,0.26628506200426677,0.07053634628386525,0.20054875054382823,0.26628506200426677,0.07270376418492505,49.99893442623005,49.99893442622982
79200.0,0.02,0.25708744434041964,0.06972861075321188,0.19484502204701615,0.25708744434041964,0.07016643250074549,49.99893442623005,49.99893442622982
82800.0,0.02,0.24891504929228417,0.0690047740401127,0.1897471359247328,0.24891504929228417,0.06805674762573127,49.99893442623005,49.99893442622982
86400.0,0.02,0.24160257790785236,0.06835124780621113,0.18515717239238877,0.24160257790785236,0.06628234378562735,49.99893442623005,49.998934426229766
90000.0,0.02,0.23501772315858313,0.06775730270807664,0.18099760329102113,0.23501772315858313,0.06477456482721031,49.99893442623005,49.99893442622988
93600.0,0.02,0.22905360194651717,0.06721434862856435,0.17720622365830035,0.22905360194651717,0.06348154309885347,49.99893442623005,49.99893442622982
97200.0,0.02,0.2236230920929669,0.06671542208051236,0.1737325217321669,0.2236230920929669,0.06236350819128728,49.99893442623005,49.99893442622982
100800.0,0.02,0.21865456634440952,0.06625481452992484,0.17053503475905826,0.21865456634440952,0.061389550557307035,49.99893442623005,49.99893442622982
104400.0,0.02,0.21408865441059233,0.06582779847101347,0.16757939254567344,0.21408865441059233,0.06053534989478456,49.99893442623005,49.998934426229766
108000.0,0.02,0.2098757651093324,0.06543042252850133,0.16483684893114806,0.2098757651093324,0.05978155445571986,49.99893442623005,49.99893442622982
111600.0,0.02,0.2059741743815705,0.06505935609685656,0.16228316553174982,0.2059741743815705,0.059112604784972524,49.99893442623005,49.998934426229766
115200.0,0.02,0.20234853692572885,0.06471177009638014,0.1598977505520348,0.20234853692572885,0.05851587969597571,49.99893442623005,49.998934426229766
118800.0,0.02,0.19896871994380952,0.06438524436805307,0.15766298955161914,0.19896871994380952,0.057981044140296284,49.99893442623005,49.99893442622982
122400.0,0.02,0.1958088795226392,0.06407769500144044,0.1555637202937759,0.1958088795226392,0.05749956888350346,49.99893442623005,49.99893442622982
126000.0,0.02,0.19284672525086644,0.06378731676674809,0.15358681445769182,0.19284672525086644,0.05706436400582706,49.99893442623005,49.998934426229766
129600.0,0.02,0.1900629299468955,0.06351253708723892,0.15172084281909168,0.1900629299468955,0.056669495104707576,49.99893442623005,49.99893442622982
133200.0,0.02,0.1874406524764102,0.06325197893072027,0.14995580493795624,0.1874406524764102,0.056309962927651586,49.99893442623005,49.99893442622982
136800.0,0.02,0.18496514944870376,0.06300443065768588,0.14828290924434134,0.18496514944870376,0.055981530719686284,49.99893442623005,49.99893442622982
140400.0,0.02,0.18262345741813812,0.06276882134267078,0.1466943928388331,0.18262345741813812,0.05568058780430518,49.99893442623005,49.99893442622982
144000.0,0.02,0.18040413022427126,0.06254420043861919,0.14518337286186261,0.18040413022427126,0.05540404090113989,49.99893442623005,49.99893442622982
147600.0,0.02,0.17829702226511246,0.06232972091206674,0.1437437231379682,0.17829702226511246,0.05514922694252162,49.99893442623005,49.99893442622982
151200.0,0.02,0.17629310787322955,0.06212462517033273,0.14236997114144553,0.17629310787322955,0.054913842649641345,49.99893442623005,49.99893442622982
154800.0,0.02,0.1743843294120967,0.06192823325641143,0.14105721153693443,0.1743843294120967,0.0546958872234449,49.99893442623005,49.99893442622982
