time_s,method,rho_d_kg_m3,net_inventory_rate_kg_s,local_positive_loss_rate_kg_s,boundary_net_rate_kg_s,water_balance_residual_kg_s,solver_relative_residual
120.0,fixed-domain-moisture,650.0,-1.849420942104964e-05,1.849420942104964e-05,-1.8494209425772408e-05,4.722767722687912e-15,2.6256760631137375e-11
240.0,fixed-domain-moisture,650.0,-1.6234798574878622e-05,1.6234798574878622e-05,-1.6234798585053975e-05,1.0175352585257286e-14,3.3652158816279135e-11
360.0,fixed-domain-moisture,650.0,-1.4604822152657526e-05,1.4604822152657526e-05,-1.460482217295642e-05,2.029889385919692e-14,2.434884268903497e-11
480.0,fixed-domain-moisture,650.0,-1.3360684783178786e-05,1.3360684783178786e-05,-1.3360684805860522e-05,2.2681736453226617e-14,3.446329201582249e-11
600.0,fixed-domain-moisture,650.0,-1.2388619401926113e-05,1.2388619401926113e-05,-1.238861941676648e-05,1.4840367907535505e-14,1.942918837466724e-11
720.0,fixed-domain-moisture,650.0,-1.161226681528568e-05,1.161226681528568e-05,-1.1612266832084113e-05,1.6798431948846643e-14,3.5004858888166715e-11
840.0,fixed-domain-moisture,650.0,-1.0974277433065543e-05,1.0974277433065543e-05,-1.0974277446441747e-05,1.3376203695570667e-14,2.632611454324996e-11
960.0,fixed-domain-moisture,650.0,-1.044973952178442e-05,1.044973952178442e-05,-1.0449739536207049e-05,1.4422629892674524e-14,3.558887034408116e-11
1080.0,fixed-domain-moisture,650.0,-1.0011827729063255e-05,1.0011827729063255e-05,-1.0011827744812496e-05,1.5749241036202948e-14,3.11277499155963e-11
1200.0,fixed-domain-moisture,650.0,-9.64187570349899e-06,9.64187570349899e-06,-9.641875715346033e-06,1.1847043257431217e-14,2.556161221592677e-11
1320.0,fixed-domain-moisture,650.0,-9.331826314854719e-06,9.331826314854719e-06,-9.331826308363897e-06,-6.490821945139176e-15,2.0348517154399604e-11
1440.0,fixed-domain-moisture,650.0,-9.063857813184346e-06,9.063857813184346e-06,-9.063857800267144e-06,-1.2917201623651245e-14,2.064695300241164e-11
1560.0,fixed-domain-moisture,650.0,-8.83223514288088e-06,8.83223514288088e-06,-8.832235124538997e-06,-1.8341881832806273e-14,2.4322377124776023e-11
1680.0,fixed-domain-moisture,650.0,-8.631410362361856e-06,8.631410362361856e-06,-8.631410349805577e-06,-1.2556279190760293e-14,1.7850933886578918e-11
1800.0,fixed-domain-moisture,650.0,-8.464309346402766e-06,8.464309346402766e-06,-8.464309327202216e-06,-1.9200549624624058e-14,2.6144153015018523e-11
1920.0,fixed-domain-moisture,650.0,-8.313700389652347e-06,8.313700389652347e-06,-8.313700371309626e-06,-1.8342720395424054e-14,2.58263042230197e-11
2040.0,fixed-domain-moisture,650.0,-8.186294192355665e-06,8.186294192355665e-06,-8.1862941697205e-06,-2.263516488772068e-14,3.123008024797721e-11
2160.0,fixed-domain-moisture,650.0,-8.070989145213227e-06,8.070989145213227e-06,-8.070989122928405e-06,-2.2284821896340935e-14,3.1322970500630984e-11
2280.0,fixed-domain-moisture,650.0,-7.97119219233789e-06,7.97119219233789e-06,-7.971192166739834e-06,-2.5598055644030122e-14,3.584342728490197e-11
2400.0,fixed-domain-moisture,650.0,-7.887259748683294e-06,7.887259748683294e-06,-7.88725972071009e-06,-2.797320379076696e-14,3.945846011913143e-11
2520.0,fixed-domain-moisture,650.0,-7.81292840449288e-06,7.81292840449288e-06,-7.81292839092869e-06,-1.3564190799752497e-14,3.257920095543397e-11
2640.0,fixed-domain-moisture,650.0,-7.746730098154268e-06,7.746730098154268e-06,-7.746730084797204e-06,-1.3357064139094509e-14,3.328524832957857e-11
2760.0,fixed-domain-moisture,650.0,-7.683399559729653e-06,7.683399559729653e-06,-7.683399534411329e-06,-2.5318324707265284e-14,4.00988301986799e-11
2880.0,fixed-domain-moisture,650.0,-7.63021553119264e-06,7.63021553119264e-06,-7.630215518044181e-06,-1.3148458558910614e-14,3.505579249390524e-11
3000.0,fixed-domain-moisture,650.0,-7.576511252399857e-06,7.576511252399857e-06,-7.576511243011484e-06,-9.388373426930368e-15,3.0592068344264576e-11
3120.0,fixed-domain-moisture,650.0,-7.533123693105723e-06,7.533123693105723e-06,-7.533123679193592e-06,-1.3912130758660882e-14,3.8816433207447576e-11
3240.0,fixed-domain-moisture,650.0,-7.48921511938021e-06,7.48921511938021e-06,-7.489215108541985e-06,-1.083822532318545e-14,3.577081804206058e-11
3360.0,fixed-domain-moisture,650.0,-7.44865453846305e-06,7.44865453846305e-06,-7.448654529714567e-06,-8.748482386927107e-15,3.389803868719041e-11
3480.0,fixed-domain-moisture,650.0,-7.4086536852556976e-06,7.4086536852556976e-06,-7.408653678007798e-06,-7.247899146362122e-15,3.275734237028768e-11
3600.0,fixed-domain-moisture,650.0,-7.376892933414294e-06,7.376892933414294e-06,-7.376892922294253e-06,-1.1120040808033482e-14,4.0345995153720973e-11
