time_s,radius_m,max_C,min_C,mean_C,center_C,surface_C,center_T_C,surface_T_C
0,0.02,2.55,2.55,2.55,2.55,2.5181848561215396,28.0,28.0
60,0.019949873268608413,2.550000000000001,1.9922834366028572,2.5390110003232746,2.55,2.141836273291542,28.528000000000077,28.52800000000002
120,0.01990016802588997,2.550000000000001,1.7098850277954598,2.5288628917543496,2.5500000000000003,1.9747282575013116,29.192000000000064,29.19199999999995
180,0.019850896699029126,2.550000000000001,1.5218687743262334,2.5192739705051848,2.5499999999999994,1.8638538312803017,29.684000000000026,29.68399999999997
240,0.019802071715210357,2.550000000000001,1.3837209487226807,2.5101097156646146,2.5500000000000007,1.7794555361193412,30.036999999999978,30.036999999999978
300,0.019753705501618122,2.5500000000000007,1.280455698669583,2.501264301876316,2.5500000000000003,1.715430009813724,30.834000000000003,30.83400000000006
360,0.019705810485436893,2.5500000000000007,1.1968025817314965,2.492690105439133,2.55,1.6608001010809188,31.293000000000006,31.293000000000006
420,0.019658399093851135,2.5500000000000007,1.1281911116073218,2.4843434858320625,2.5500000000000003,1.6146898791098652,31.82000000000005,31.819999999999993
480,0.019611483754045308,2.5500000000000007,1.0688499269894796,2.4762020834986744,2.5500000000000003,1.5730648506151996,32.12100000000004,32.12100000000004
540,0.019565076893203883,2.5500000000000007,1.0194743971645266,2.4682299383260315,2.5499999999999994,1.5384497393490704,32.73000000000002,32.73000000000002
600,0.019519190938511326,2.5500000000000007,0.9762116986411113,2.4604097790860937,2.5500000000000003,1.5072855679433055,33.202,33.202
660,0.019473838317152103,2.5500000000000007,0.9394830237468138,2.452715873434826,2.55,1.4809729019003897,33.87900000000002,33.87899999999996
720,0.019429031456310683,2.5500000000000007,0.9056344518626445,2.445143762405003,2.5500000000000003,1.4557113889432112,34.268000000000086,34.26800000000014
780,0.019384782783171524,2.5500000000000007,0.8758444630919935,2.43767791615913,2.5500000000000007,1.4335290634543285,34.80600000000004,34.80599999999998
840,0.01934110472491909,2.5500000000000007,0.8479788279921809,2.4303159415294884,2.55,1.4120743408035181,35.141999999999996,35.14200000000005
900,0.01929800970873786,2.550000000000001,0.822523814585174,2.423048631272996,2.5500000000000007,1.3923273472671234,35.524,35.524
960,0.0192555101618123,2.550000000000001,0.8002778385545558,2.4158605001487685,2.5500000000000007,1.375358071450838,36.091000000000065,36.091000000000065
1020,0.019213618511326858,2.550000000000001,0.7786279332979471,2.4087551681446353,2.5500000000000003,1.3580141678256936,36.353999999999985,36.353999999999985
1080,0.019172347184466018,2.550000000000001,0.760813827002357,2.40171294738808,2.5500000000000007,1.3445541431669918,37.067000000000064,37.06700000000001
1140,0.01913170860841424,2.5500000000000007,0.7433032364800048,2.394736223705489,2.5499999999999994,1.3304871972999577,37.41899999999998,37.418999999999926
1200,0.019091715210355985,2.550000000000001,0.7273977618978614,2.3878197796523044,2.550000000000001,1.3177750311110314,37.882000000000005,37.88199999999995
1260,0.01905237941747573,2.55,0.7115630603868867,2.380964868030799,2.5499999999999994,1.3045711184649076,38.134000000000015,38.13399999999996
1320,0.019013713656957927,2.549999999999998,0.6983684709305812,2.3741568839409464,2.5499999999999954,1.2942202097732638,38.76700000000005,38.76699999999994
1380,0.018975730355987055,2.54999999999999,0.6854366350264022,2.3673998872921658,2.5499999999999887,1.2834936881736174,39.12499999999994,39.12500000000006
1440,0.018938441941747573,2.54999999999997,0.6729127948977838,2.3606907992446398,2.54999999999997,1.2729397027622782,39.45800000000003,39.45799999999997
1500,0.018901860841423947,2.5499999999999194,0.6600204917921141,2.354035743230143,2.5499999999999194,1.2615844878114133,39.59500000000003,39.59499999999997
1560,0.01886599948220065,2.549999999999796,0.6488975085018448,2.3474234432328194,2.549999999999796,1.2522717479039085,40.06099999999998,40.061000000000035
1620,0.018830870291262135,2.549999999999503,0.6374634575132695,2.3408590923658603,2.549999999999503,1.2421213724506661,40.238,40.23799999999994
1680,0.018796485695792883,2.5499999999988385,0.6272032193775494,2.3343357937114533,2.5499999999988385,1.2332671406223699,40.62099999999998,40.62099999999998
1740,0.018762858122977347,2.5499999999973477,0.6185043166767823,2.3278450945517974,2.5499999999973477,1.226051830461781,41.166,41.166000000000054
1800,0.01873,2.5499999999941414,0.6099208218354324,2.3213890392257275,2.5499999999941414,1.2185565174418485,41.51299999999998,41.513000000000034
