time_s,sensible_inventory_change_J,fixed_volume_sensible_change_J,geometry_heat_term_J,geometry_reference_temperature_K,surface_convection_in_W,surface_latent_out_W,linear_solver_relative_residual,physical_heat_balance_residual_J,physical_heat_balance_relative
150.0,-7301.71096746714,-5333.649340376136,-1968.061627091004,301.15,12.456144234929502,48.013806498598086,2.304583671942386e-11,-8.25848474050872e-07,1.1310341887407618e-10
300.0,-4155.069581925808,-2310.969261976367,-1844.1003199494412,290.92749409345475,13.391349046713524,28.79781080477079,3.512116317385377e-11,1.7322231542493682e-06,4.168938979468331e-10
450.0,-3521.5882067816215,-1763.7765358208626,-1757.8116709607589,286.4461097330308,14.362895918447595,26.121406165651127,2.7778835466631182e-11,1.2596672149811639e-06,3.576986123918144e-10
600.0,-2975.74020096448,-1298.0493179602931,-1677.690883004187,282.9793385530533,14.930568172151137,23.584230307821617,3.062150415156166e-11,2.3902789507701527e-06,8.032552539349467e-10
750.0,-2591.9591501226705,-989.5518788261923,-1602.4072712964783,280.3944397111361,15.39283577806821,21.989848307186524,4.113972908515146e-11,5.415547548182076e-07,2.089364544161806e-10
900.0,-2298.4553916246164,-768.6080461520305,-1529.8473454725859,278.39812469339097,15.651810321049213,20.775863959962837,3.528639460279062e-11,-3.1498689168074634e-07,1.3416420005939663e-10
1050.0,-2040.0518993149103,-581.237606934056,-1458.8142923808543,276.82762902277454,15.910014562714734,19.784931934232723,2.5080357091884274e-11,-1.2063576377840945e-06,5.05491947866683e-10
1200.0,-1820.8773866577608,-432.1015139445192,-1388.7758727132416,275.62529658478417,16.120881182878804,19.00155793719852,1.4760058888968003e-11,-7.96561835159082e-07,3.294120323914928e-10
1350.0,-1632.4663710991395,-313.28917758458795,-1319.1771935145514,274.7207828163634,16.269656746853187,18.35825125624047,2.672568426154693e-11,-1.1764952887460822e-06,4.820815858017965e-10
1500.0,-1479.5744085737701,-229.9925960928819,-1249.5818124808882,274.05745292897075,16.277941883772854,17.811225846153683,3.235588168492452e-11,-1.7357576780341333e-06,7.108833497615872e-10
1650.0,-1325.6579329281046,-146.12913788693612,-1179.5287950411685,273.56504812157635,16.32834650267332,17.302540763041875,3.354105698071036e-11,1.1683471257128986e-06,4.77022020374859e-10
1800.0,-1175.9662151198172,-67.04300697963168,-1108.9232081401856,273.2491294227288,16.43924264642621,16.88619603613793,2.9540885392578745e-11,1.4771267160540447e-06,5.990246419594692e-10
1950.0,-1056.8773516408935,-23.5959302698405,-1033.281421371053,273.1032793767883,16.401140858122826,16.558447065625167,2.4166488891703942e-11,8.555107342544943e-07,3.477444004881706e-10
2100.0,-940.3172658335815,20.92822683222981,-961.2454926658113,273.051985183379,16.373811247016892,16.23428974241957,3.176897553565109e-11,1.1426315040807822e-06,4.652272611195741e-10
2250.0,-839.4634811875883,61.92896151853431,-901.3924427061226,273.0996461719555,16.367026318217256,15.954166576028058,2.147988047207222e-11,1.9015453744941624e-07,7.745432137042734e-11
2400.0,-762.0313124753395,91.35639752018068,-853.3877099955201,273.2401515554116,16.337235207703056,15.728192557239957,2.2155765299264636e-11,-4.9284267333860043e-08,2.011122310773954e-11
2550.0,-701.8545872341274,115.040313832267,-816.8949010663944,273.44871451673083,16.289619673079976,15.5226842459506,2.1800783968966845e-11,-2.3713937480351888e-07,9.70513245296584e-11
2700.0,-654.4432730267702,137.22178403400724,-791.6650570607774,273.71325427027136,16.260120853972516,15.345308958643887,2.6372962135249874e-11,-2.652872126418515e-07,1.0876803644299241e-10
2850.0,-635.690953190585,141.82100302111726,-777.5119562117022,274.0311837389642,16.14151112461305,15.1960377674257,2.1719895799135685e-11,-5.569852419284871e-07,2.3004258507915436e-10
3000.0,-627.0324933735302,147.1310487193564,-774.1635420928866,274.36225368343827,16.021486328663315,15.040612667220623,2.5307848730932335e-11,-4.970473810317344e-07,2.0682533061554532e-10
3150.0,-616.1875095616751,165.29127759748948,-781.4787871591647,274.7083770948439,15.996111461113271,14.894169607021873,3.752755082369843e-11,-5.162202114661341e-07,2.1514404202590995e-10
3300.0,-633.8247394071406,165.58028936335404,-799.4050287704946,275.1003500122519,15.901615720693695,14.797747122316425,3.9094211461189114e-11,-3.9323640521615744e-07,1.6486224298344563e-10
3450.0,-671.4981943446967,156.18167476403875,-827.6798691087354,275.4961834557213,15.741915513966521,14.700704347445193,3.505184262651861e-11,-2.1416065010271268e-07,9.069656523595889e-11
3600.0,-703.4825505606348,162.5907760971001,-866.0733266577349,275.8726649178976,15.675384989425785,14.591446480852799,4.317056358914063e-11,-1.8884770724980626e-07,8.031603152637e-11
3750.0,-746.1412026128924,157.1984609072874,-903.3396635201798,276.2681148136649,15.560801038916555,14.512811298830272,4.0411227612120584e-11,-1.056550900102593e-07,4.526548890211276e-11
3900.0,-779.0209019962965,149.52482821706315,-928.5457302133597,276.65397574462713,15.43246641094318,14.435634222883895,3.465351386790018e-11,8.17033196653938e-09,3.529499324768026e-12
4050.0,-810.5847358698427,136.96332934921227,-947.5480652190549,277.0244951857003,15.26880223834278,14.355713377426264,3.128158763215828e-11,2.1173491404624656e-07,9.244772914125124e-11
4200.0,-825.5020208317885,134.8862412258564,-960.3882620576449,277.3671857084779,15.161550337824094,14.262308730295274,3.426219881961212e-11,9.653331289882772e-08,4.244654438273479e-11
4350.0,-832.6002190800381,134.6476845591168,-967.2479036391549,277.7080808201164,15.088783317390911,14.191132084216397,3.8287316044996744e-11,-4.1706039155542385e-07,1.8426950350363094e-10
4500.0,-847.5355865079721,120.70801604685876,-968.2436025548309,278.0518506318597,14.939965742283908,14.13524563703365,3.886040207131208e-11,2.5932013159035705e-07,1.1571652218559646e-10
4650.0,-841.550734233585,121.8022068163277,-963.3529410499127,278.3631403211012,14.867758749471536,14.055744032470935,3.715056356776355e-11,-7.337623628700385e-07,3.29017249218826e-10
4800.0,-839.295075317711,113.51869663325516,-952.8137719509662,278.68051550058937,14.7612724975039,14.00448118011261,4.7075710848482076e-11,-9.754384109328385e-07,4.405394413423292e-10
4950.0,-833.6196439697612,103.0260941487944,-936.6457381185556,278.97931923410647,14.627618231887691,13.94077760095882,4.016239813409195e-11,-4.905364221485797e-07,2.2356632245124165e-10
