time_s,old_radius_m,new_radius_m,dt_s,nr,nz,scenario,volume_old_m3,volume_new_m3,volume_change_m3,outer_area_m2,z0_area_m2,z1_area_m2,sensible_energy_old_J,sensible_energy_new_J,inventory_change_J,linear_storage_change_J,capacity_change_J,geometry_change_J,geometry_change_using_new_capacity_J,legacy_geometry_abs_K_J,decomposition_residual_J,convective_outer_W,convective_z0_W,convective_z1_W,convective_input_W,convective_input_recomputed_W,convective_recompute_difference_W,latent_outer_out_W,latent_z0_out_W,latent_z1_out_W,latent_out_W,net_boundary_power_W,internal_radial_face_abs_W,internal_axial_face_abs_W,internal_radial_domain_net_W,internal_axial_domain_net_W,linear_solver_relative_residual,linear_solver_cg_iterations,linear_balance_residual_J,linear_balance_relative,raw_inventory_residual_J,raw_inventory_relative,legacy_omitted_geometry_residual_J,legacy_omitted_geometry_relative,corrected_physical_residual_J,corrected_physical_relative,picard_calls
300.0,0.02,0.019753705501618122,300.0,8,8,no_latent,0.00015707963267948965,0.0001532346692569239,-3.844963422565755e-06,0.015514524021264943,0.0012258773540553911,0.0012258773540553911,14772.445648272165,14551.886277132928,-220.55937113923756,225.74477683406394,-84.70721646441157,-361.59693150889075,-359.471458530012,-3866.2439191540398,7.958078640513122e-13,0.7027335548946069,0.0,0.04974904274457215,0.752482597639179,0.752482597639179,0.0,0.0,0.0,0.0,0.0,0.752482597639179,1.13900872986445,0.02469003583056565,0.0,0.0,3.5949279832208384e-11,1,-2.457689760149151e-06,1.088702812025088e-08,-446.3041504309913,1.9770297759762832,-3866.2439216117295,1.062009293359672,-2.4576889927629963e-06,1.0887024720898048e-08,5
600.0,0.019753705501618122,0.019519190938511326,300.0,8,8,no_latent,0.0001532346692569239,0.0001496178847372006,-3.6167845197233053e-06,0.015330336714110911,0.0011969430778976048,0.0011969430778976048,14551.886276632864,14488.230068255545,-63.65620837731876,360.205395426562,-80.39470252545904,-343.4669012784235,-341.5234817729777,-3621.7978274344578,1.7621459846850485e-12,1.124648201029089,0.0,0.0760364595302859,1.2006846605593748,1.2006846605593748,0.0,0.0,0.0,0.0,0.0,1.2006846605593748,2.1618638316344594,0.05031971783263082,0.0,0.0,3.369234526237172e-11,1,-2.741250455073896e-06,7.610242569981703e-09,-423.8616065451312,1.1767219722444655,-3621.797830175708,1.1104385068572358,-2.741248692927911e-06,7.610237677922913e-09,5
900.0,0.019519190938511326,0.01929800970873786,300.0,8,8,no_latent,0.0001496178847372006,0.00014624631329527378,-3.3715714419267986e-06,0.015156621382468843,0.0011699705063621902,0.0011699705063621902,14488.230067450822,14548.563087997089,60.3330205462662,464.3133610307058,-77.49462104466645,-326.4857194397758,-324.69915371151967,-3366.286001960628,2.6716406864579767e-12,1.453491878717671,0.0,0.09421933304961623,1.547711211767287,1.547711211767287,0.0,0.0,0.0,0.0,0.0,1.547711211767287,3.053964684404,0.0733423337914521,0.0,0.0,2.0022135814743965e-11,1,-2.4994803311528813e-06,5.383175517821132e-09,-403.9803429839199,0.8700596939800467,-3366.286004460108,1.1599992215575814,-2.4994777163556137e-06,5.383169886285465e-09,6
1200.0,0.01929800970873786,0.019091715210355985,300.0,8,8,no_latent,0.00014624631329527378,0.00014313629794979142,-3.110015345482376e-06,0.01499459806232072,0.0011450903835983314,0.0011450903835983314,14548.563087992581,14714.808834381234,166.24574638865306,551.3466068034699,-75.71696253137114,-309.38389788344557,-307.73874624295473,-3098.969849914067,-1.1368683772161603e-13,1.72981277993107,0.0,0.1080092545003106,1.8378220344313807,1.8378220344313807,0.0,0.0,0.0,0.0,0.0,1.8378220344313807,3.8344131432155044,0.09347447983846748,0.0,0.0,4.2951398168457416e-11,2,-3.5259444075563806e-06,6.395150240335616e-09,-385.1008639407612,0.6984732593362171,-3098.9698534400113,1.2164160700842999,-3.5259445212432183e-06,6.3951504465341045e-09,5
1500.0,0.019091715210355985,0.018901860841423947,300.0,8,8,no_latent,0.00014313629794979142,0.00014030366271056689,-2.832635239224526e-06,0.014845486789648516,0.001122429301684535,0.001122429301684535,14714.808832269187,14922.567517093366,207.758684824179,573.7368733625275,-74.77542142920836,-291.2027671091431,-289.6931023600112,-2819.3287569493596,2.9558577807620168e-12,1.804618673276647,0.0,0.10783758429140311,1.9124562575680502,1.9124562575680502,0.0,0.0,0.0,0.0,0.0,1.9124562575680502,4.239628134912842,0.1053583277969102,0.0,0.0,4.73767825133332e-11,2,-3.907887503373786e-06,6.811288690323999e-09,-365.978192446236,0.6378850775418125,-2819.328760857247,1.255494723446363,-3.907884547516005e-06,6.8112835383843245e-09,5
1800.0,0.018901860841423947,0.01873,300.0,8,8,no_latent,0.00014030366271056689,0.00013776390367806635,-2.5397590325005417e-06,0.014710507600434207,0.0011021112294245308,0.0011021112294245308,14922.567514852533,15187.550932847324,264.9834179947902,609.3663647271053,-74.25653020298324,-270.1264165293348,-268.7574534826292,-2525.8277132108537,2.9558577807620168e-12,1.9200904566782495,0.0,0.11113076838472771,2.031221225062977,2.031221225062977,0.0,0.0,0.0,0.0,0.0,2.031221225062977,4.6067532532872635,0.11498839191412634,0.0,0.0,2.8884216090588034e-11,3,-2.7917877787331236e-06,4.581460230731499e-09,-344.38294952410286,0.5651492564748832,-2525.8277160026414,1.3179643398501133,-2.791784822875343e-06,4.581455380024374e-09,5
2100.0,0.01873,0.018578318897138145,300.0,8,8,no_latent,0.00013776390367806635,0.0001355416325509876,-2.222271127078755e-06,0.014591377540824405,0.0010843330604079007,0.0010843330604079007,15187.550930154674,15456.443005024383,268.8920748697092,588.1163243853889,-74.23368941953396,-244.9905600961446,-243.77346257748002,-2209.289879982074,-1.1652900866465643e-12,1.8573405357130888,0.0,0.10304722175203779,1.9603877574651265,1.9603877574651265,0.0,0.0,0.0,0.0,0.0,1.9603877574651265,4.6362590051360035,0.11740271672616884,0.0,0.0,2.2546388708417563e-11,1,-2.85414898826275e-06,4.853034775720934e-09,-319.2242523698287,0.5427910050859882,-2209.289882836223,1.3627719717048292,-2.854150153552837e-06,4.853036757114806e-09,6
2400.0,0.018578318897138145,0.018443526619709376,300.0,8,8,no_latent,0.0001355416325509876,0.00013358196247458028,-1.959670076407326e-06,0.014485511933691691,0.001068655699796642,0.001068655699796642,15456.443004952876,15740.507464691067,284.06445973819064,581.8430869644253,-74.30833050314124,-223.4702967230922,-222.38018089444876,-1947.5096884828536,-1.2505552149377763e-12,1.8403529703788357,0.0,0.09912399612261143,1.939476966501447,1.939476966501447,0.0,0.0,0.0,0.0,0.0,1.939476966501447,4.6479395510555275,0.11813836403070815,0.0,0.0,2.381093373286219e-11,1,-2.9860087806810043e-06,5.13198288723404e-09,-297.77863021224346,0.5117851107205047,-1947.5096914688625,1.426050610964277,-2.9860100312362192e-06,5.131985036533803e-09,6
2700.0,0.018443526619709376,0.018318960879497432,300.0,8,8,no_latent,0.00013358196247458028,0.00013178365732206335,-1.7983051525168922e-06,0.014387678230106987,0.001054269258576507,0.001054269258576507,15740.507464607366,16020.35734878142,279.84988417405293,566.3507256802748,-74.59921083343949,-211.90163067278215,-210.88365812640174,-1786.6300805017897,-1.9895196601282805e-13,1.793905583848745,0.0,0.09393017836220094,1.8878357622109458,1.8878357622109458,0.0,0.0,0.0,0.0,0.0,1.8878357622109458,4.586134581561397,0.11691696364073353,0.0,0.0,2.4202831179320663e-11,1,-2.9830090397808817e-06,5.267070189565147e-09,-286.5008444892309,0.5058717681275662,-1786.630083484799,1.4641156358382557,-2.9830092387328477e-06,5.267070540852709e-09,6
3000.0,0.018318960879497432,0.01819795938828606,300.0,8,8,no_latent,0.00013178365732206335,0.0001300484764501216,-1.735180871941779e-06,0.01429264388114122,0.0010403878116009727,0.0010403878116009727,16020.357348701162,16244.405379187872,224.04803048671056,509.85484282146126,-74.86853517643269,-210.93827715831807,-209.93933850332908,-1723.4107574013674,5.684341886080802e-14,1.6184779842080577,0.0,0.0810381664221337,1.6995161506301915,1.6995161506301915,0.0,0.0,0.0,0.0,0.0,1.6995161506301915,4.270370564622831,0.11029416056319369,0.0,0.0,2.0027286662611868e-11,1,-2.367596152907936e-06,4.6436670657312595e-09,-285.80681470234686,0.5605650655263811,-1723.4107597689635,1.4201329654971462,-2.367596096064517e-06,4.643666954241844e-09,6
