scope,family,level,nr,nz,dt_s,duration_s,h_r,h_z,h_effective,metric,value,adjacent_change,field_linf_change,field_l2_relative_change,observed_order,runtime_s
field,Q2-M3,1,42,36,1.25,10800,0.0392280525140354,0.04676183033000947,0.04676183033000947,final_max_C,1.727453873211908,,,,,20.248175500004436
field,Q2-M3,1,42,36,1.25,10800,0.0392280525140354,0.04676183033000947,0.04676183033000947,final_mean_C,1.3063441168588512,,,,,20.248175500004436
field,Q2-M3,2,62,36,1.25,10800,0.026594967301662477,0.04676183033000947,0.04676183033000947,final_max_C,1.7276397893472275,0.00018591613531948603,0.00019500766204538778,5.285148048468593e-05,,124.48943960000179
field,Q2-M3,2,62,36,1.25,10800,0.026594967301662477,0.04676183033000947,0.04676183033000947,final_mean_C,1.3062724587048402,7.165815401100062e-05,0.00019500766204538778,5.285148048468593e-05,,124.48943960000179
field,Q2-M3,3,93,36,1.25,10800,0.01774060629031616,0.04676183033000947,0.04676183033000947,final_max_C,1.7277283498561156,8.856050888805811e-05,8.811164579136666e-05,2.4822521034169576e-05,1.8290344525063873,54.85047309999936
field,Q2-M3,3,93,36,1.25,10800,0.01774060629031616,0.04676183033000947,0.04676183033000947,final_mean_C,1.3062386630850593,3.37956197808964e-05,8.811164579136666e-05,2.4822521034169576e-05,1.8536138728666136,54.85047309999936
field,Q2-M3,4,140,36,1.25,10800,0.01178415583167865,0.04676183033000947,0.04676183033000947,final_max_C,1.727768354298843,4.0004442727337164e-05,4.266894426274703e-05,1.180082931703392e-05,1.9428169057040148,76.11217549999128
field,Q2-M3,4,140,36,1.25,10800,0.01178415583167865,0.04676183033000947,0.04676183033000947,final_mean_C,1.3062235454690674,1.5117615991933064e-05,4.266894426274703e-05,1.180082931703392e-05,1.9667141467308087,76.11217549999128
field,Q2-M3,5,210,36,1.25,10800,0.007856681067147653,0.04676183033000947,0.04676183033000947,final_max_C,1.7277860781121686,1.7723813325654092e-05,1.7370733239818748e-05,5.4090843473913314e-06,2.0077717634903007,166.84630710000056
field,Q2-M3,5,210,36,1.25,10800,0.007856681067147653,0.04676183033000947,0.04676183033000947,final_mean_C,1.3062169000351198,6.645433947571888e-06,1.7370733239818748e-05,5.4090843473913314e-06,2.0271305100840826,166.84630710000056
