scenario,q,hm_mult,pref_mult,exponent_mult,shell,event_time_s,runtime_s,balance_error
0,3,1.0652931246934898,0.9850661749360279,1.0062477412669635,core,227463.7008362666,1.2098467000032542,3.5874149549908354e-10
1,4,1.1232362974750842,1.045566634793921,1.005102633403896,core,182970.04744422153,1.0355563000048278,3.1411471356997654e-10
2,3,1.1026385670038552,0.9603997327279011,0.980433534429145,core,216801.87973101728,1.2560538000107044,3.266089819681748e-10
3,4,0.8246759072078444,1.0640853538815482,1.0106667036354418,core,184049.7156054432,1.1613703000039095,5.962936518182318e-10
4,3,0.9845958357919131,0.9939666440789042,1.0369410106349957,core,246366.24474808344,1.393833900001482,4.389659860719213e-10
5,4,0.9424023877338541,1.075556756381207,1.0198548231918676,core,183709.2843471139,1.1712023000000045,1.044492915552892e-09
6,3,0.8008138807585871,0.954890930330943,1.0389876185621585,core,259200.0,1.4485411000059685,7.016195156581146e-10
7,4,1.1180446197911713,0.9360862270020461,0.9809963985498712,core,194619.6975260756,1.1604163000010885,3.823560777568689e-10
8,3,1.1724390226858916,0.9690144946941124,0.9748356743024966,core,210997.75177530135,1.1355929000128526,3.1858286418010813e-10
9,4,0.9627017812544394,0.9660408843698692,1.037026085143205,core,207633.76276091224,1.028263700005482,1.755659430203207e-10
10,3,1.0633792966770288,1.02326345689906,1.003129920539021,core,217753.94411558507,1.0030813999910606,3.4211065962243027e-10
11,4,1.1586207870246856,1.0573296479933578,1.0143964250040922,core,183661.04708441615,0.8686731000052532,3.3781798491508474e-10
12,3,0.9911042605084794,0.9177176923399901,1.0434450379298759,core,259200.0,1.1650691999966512,8.331630360989588e-10
13,4,0.9630025713383177,0.9051076916844665,1.0063248204277904,core,209727.58854820312,0.9481265999929747,2.124456092440786e-10
14,3,1.109419946105535,1.0965060973161043,0.9654346252604762,core,184425.62989556362,0.8483893000084208,3.830375635962736e-10
15,4,1.0737927562685161,1.070085926953191,1.0269918438177752,core,185744.68503638415,0.8181273000082001,2.2922148906497342e-10
16,3,0.9452896251796208,1.0365592849965743,1.0231691011383734,core,228977.943044364,1.0010608000011416,4.691328861915141e-10
17,4,0.8547075762852928,1.0748739078003786,1.0381115311976032,core,189938.16481194977,0.9240682999952696,7.370641886698372e-10
18,3,1.1918744306857372,0.9232203748253909,0.9773889226317688,core,222119.7210752657,1.0007923999946797,3.131265810339565e-10
19,4,1.0072549666183552,1.047836207287137,1.0063619136445114,core,183626.8140632501,1.0319039000023622,1.7859177391629064e-10
20,3,0.8169954327529434,1.0212342566085901,1.0239241361537352,core,235508.9568176842,1.4577315999922575,8.464005209287618e-10
21,4,0.9308415596458904,1.0138925761605408,0.9999538390452363,core,187787.01249530574,1.2027308999968227,1.0793903884850353e-09
22,3,1.1632501603979186,1.0023583946056973,1.0362033679799785,core,241785.61304430763,1.4140409999963595,3.5718086658609295e-10
23,4,0.8028942392363889,1.0109007282752627,1.0000625524094091,core,189680.64571907633,1.2540507999947295,5.024618898615924e-10
24,3,1.1877422819972328,0.9660426553526468,0.9633219787271892,core,205017.4249942827,1.2353627000120468,3.207741935117955e-10
25,4,0.8348497883686072,1.0227429748271917,1.0176712966288601,core,192492.07048782677,1.2151787000038894,6.245217011529571e-10
26,3,0.8190282345679033,1.0592668030978716,0.9649387492571819,core,196296.78702409563,1.1323999000014737,8.077294579562903e-10
27,4,0.824953150963362,0.9128244602847052,1.0388229602411023,core,220308.6567427847,1.416538199991919,9.497682147108374e-10
28,3,1.1545149826852956,1.0376989741928357,1.0464935009697782,core,240837.03127789145,1.4344921999872895,3.6696270034787316e-10
29,4,0.8769542104993829,0.9189608981385213,0.9560602038213992,core,191981.98152245177,1.3698192999872845,1.01658232150156e-09
30,3,0.8494875946945546,0.9649722249278212,0.9595357472017044,core,209127.52466270296,1.3623878999933368,6.789958437170344e-10
31,4,1.0971884887817487,0.9825924978692196,1.0430332757195493,core,205730.4628783788,1.3298722999898018,3.458264276779334e-10
32,3,0.95943952216791,1.0649579224423018,1.0499874473891284,core,239813.4671704431,1.1794955000077607,3.7700895933676756e-10
33,4,1.0012022273034045,0.9950364511715638,1.000750468691419,core,190661.03899438432,0.9597027999989223,2.0421587276525817e-10
34,3,0.8185387786626757,0.9296977450749242,0.9862733836951477,core,232315.37543803538,1.1465243999991799,5.989904679646048e-10
35,4,1.1614836201800618,1.0969766362970874,0.9689350798315329,core,165544.65449680775,0.9662940999987768,2.9737653173237714e-10
36,3,0.8878944183503442,0.9965317983309165,0.9576061866686393,core,201289.9690369375,1.116119099999196,8.083480024327644e-10
37,4,1.009814627081321,1.050152316063095,1.0178931860867089,core,186583.94272224605,0.9866517999907956,1.8641059934743304e-10
38,3,1.0901669559280223,1.021921143794644,0.9509696840690399,core,189643.78532017168,1.088171000010334,3.221014772194835e-10
39,4,1.0426573173668647,0.9546335749652458,1.0423198571765535,core,211215.28045938813,1.3249897000059718,3.489849832505404e-10
40,3,0.8017505805571863,0.9940696598518546,0.984803083731331,core,218570.08302211968,1.164868199994089,6.860369540095927e-10
