nr,dt_factor,dt,steps,runtime_s,mean_total,surface_total,balance_error
40,0.12,0.00625,600,0.013405699995928444,0.5927779251625618,0.14510813165218095,2.291060465298223e-13
40,0.06,0.003125,1200,0.02740210000774823,0.592790910001277,0.14514874012733506,2.4560188269345234e-13
80,0.12,0.0015625,2400,0.05379159998847172,0.5977499889385507,0.14295574230054892,1.3208655917524845e-12
80,0.06,0.00078125,4800,0.10653729998739436,0.5977530684589111,0.1429650734473265,1.4161037525390195e-12
120,0.12,0.0006944444444444445,5400,0.12479719999828376,0.5993681079279987,0.14221961283645762,1.79316813922153e-12
120,0.06,0.00034722222222222224,10800,0.23558310000225902,0.5993694528009911,0.14222364635689488,3.8702977234812205e-12
