model,ntrain,seed,split,rmse,mae,max_abs,train_s,inference_s,false_safe_count
pure_ml_elm,18,20260911,test,6825.590762985948,4393.766740376916,19505.475873128715,0.00035280000884085894,1.4774999726796522e-06,0
pure_ml_elm,18,20260911,extrapolation,5753.070866728859,4370.783116883071,12698.247258354182,0.00035280000884085894,1.4774999726796522e-06,0
pure_ml_elm,18,20260912,test,7963.8469730503475,5126.8781993888715,18798.013389698288,0.00016740000864956528,3.958333157546197e-07,0
pure_ml_elm,18,20260912,extrapolation,5150.52691968665,3944.7777439667007,14555.876110479032,0.00016740000864956528,3.958333157546197e-07,0
pure_ml_elm,18,20260913,test,9380.789498085203,7113.471385809422,22063.11714283866,0.00018799999088514596,1.8916665188347299e-07,0
pure_ml_elm,18,20260913,extrapolation,5572.138596937367,4655.995650187286,12063.08310306014,0.00018799999088514596,1.8916665188347299e-07,0
pure_ml_elm,36,20260911,test,3097.3649276839333,2024.9266560499727,9711.895993045415,0.0001601000112714246,1.6583326214458794e-07,0
pure_ml_elm,36,20260911,extrapolation,4179.852262225402,3443.9596841021175,8730.553263809445,0.0001601000112714246,1.6583326214458794e-07,0
pure_ml_elm,36,20260912,test,2370.136313327709,1590.5660444989098,7415.133092310745,0.00014400000509340316,1.5500008885283023e-07,0
pure_ml_elm,36,20260912,extrapolation,2843.652734954326,2457.8335627193064,5047.3072533003,0.00014400000509340316,1.5500008885283023e-07,0
pure_ml_elm,36,20260913,test,3762.9443148850855,3078.4635956867824,9223.601277115551,0.00014109999756328762,1.4749991047816972e-07,0
pure_ml_elm,36,20260913,extrapolation,4890.9556359857,3948.5433144774997,13227.386240106222,0.00014109999756328762,1.4749991047816972e-07,0
pure_ml_elm,72,20260911,test,2532.7013687548874,1905.8646585577153,4869.9418798455445,0.0002268999960506335,1.733333192532882e-07,0
pure_ml_elm,72,20260911,extrapolation,4125.909589267888,3271.9355849465337,10199.79465314158,0.0002268999960506335,1.733333192532882e-07,0
pure_ml_elm,72,20260912,test,2549.578452983591,1629.6561975363875,7340.092521460407,0.00019200000679120421,2.691666547131414e-07,0
pure_ml_elm,72,20260912,extrapolation,5037.162976975584,3742.852710570689,9965.854646656691,0.00019200000679120421,2.691666547131414e-07,0
pure_ml_elm,72,20260913,test,3341.856512559515,2292.685335242688,8191.513489866513,0.0001601999974809587,1.5000005078036337e-07,0
pure_ml_elm,72,20260913,extrapolation,4246.060002467547,3323.8650924836766,11135.821286838414,0.0001601999974809587,1.5000005078036337e-07,0
