time_s,center_T_C,surface_T_C,center_C,surface_C,mean_C
0.0,28.0,28.0,2.55,2.235750319361284,2.55
300.0,28.020416658656302,28.64992039200672,2.549999999932099,2.040821369344243,2.497432176994998
600.0,28.271606122962226,29.701684186565103,2.5499999579394257,1.9128163329799004,2.44875707426853
900.0,28.868209849887194,30.99383885095341,2.5499985864758075,1.820639264232735,2.4027718597316037
1200.0,29.767874422201828,32.434605376928744,2.549984939087605,1.750316601691088,2.358790422507803
1500.0,30.89987971781784,33.913875716239374,2.5499131567240827,1.6944980412475052,2.3163690515353936
1800.0,32.193031446556404,35.41174361164042,2.549658336588832,1.6485874992086318,2.2752184498309465
2100.0,33.5750870529983,36.85507869672915,2.5489667550725104,1.6099914875291945,2.235130125062446
2400.0,34.99481670305198,38.2690504693839,2.547423959173576,1.5766590978702477,2.1959628772131086
2700.0,36.41598600999566,39.63815679527346,2.5444652981580083,1.5474469908128383,2.1575998737484423
3000.0,37.81085530408171,40.81733317684768,2.539431344875437,1.5206338446091991,2.11996945018903
3300.0,39.12991935632118,41.999218166267156,2.5316672946947247,1.4962833613205608,2.083023373071482
3600.0,40.38082305917521,42.99492769899223,2.520626861800189,1.4730705800493737,2.04671470976724
3900.0,41.53278942331491,43.94321953275352,2.5059490011978234,1.4512490784037104,2.011015447471238
4200.0,42.595939181640176,44.722862259411386,2.487500641564311,1.429866549711401,1.9759060424014425
4500.0,43.54658013983277,45.44240684216351,2.4653779332774817,1.409112044151949,1.9413760355102758
4800.0,44.39838493363595,46.13924015252849,2.4398672135978487,1.389007127080572,1.907417003154792
5100.0,45.17291289078935,46.63711715303856,2.4113707129043043,1.3688248384657504,1.8740140662889022
5400.0,45.845448428207135,47.13690139412796,2.38036436536075,1.3489553164882455,1.8411670764073882
5700.0,46.43650168462062,47.58788678025866,2.3473638796851524,1.3292664157767875,1.8088692239463608
6000.0,46.954521492848414,47.98727259420082,2.3128508002238375,1.309729496783461,1.777117641666746
6300.0,47.41486082525256,48.32018565464688,2.2772671957211825,1.2903394509522916,1.7459068111175209
6600.0,47.822859257221296,48.56362144723039,2.2409777166649016,1.2707497958928184,1.7152298181962107
6900.0,48.15889620806075,48.792802624364754,2.2043289696123405,1.2512478684077775,1.685091896696463
7200.0,48.450701777651034,49.00290025624554,2.1676083058894045,1.2319492469769913,1.6554856495178418
7500.0,48.70516877998074,49.12804806327773,2.131018440674417,1.2124862805384773,1.6264058637963676
7800.0,48.90205267834381,49.24619363995782,2.094749962157088,1.1931049359295023,1.5978589728750752
8100.0,49.07179905116067,49.36931389784985,2.0589492612787654,1.1739797299349228,1.5698292028867313
8400.0,49.22601931786511,49.4913439799688,2.0236896835290445,1.154963454961553,1.5423185402700144
8700.0,49.35850500146114,49.580275418615656,1.9890308085730557,1.1360859942619022,1.5153189194674386
9000.0,49.46818540308476,49.6636370654183,1.9550164249732285,1.1172509878370347,1.4888261289730194
9300.0,49.559720680498856,49.72861217358735,1.9216851776797887,1.0987132339901293,1.4628353509815137
9600.0,49.639349395193165,49.77583940795466,1.8890431587367935,1.0803449068813413,1.4373364504663633
9900.0,49.71272366066347,49.808728436598926,1.8570893148284349,1.0620208501178574,1.4123260950650893
10200.0,49.76642482704074,49.87037125137016,1.8258300362573245,1.0440944709091085,1.3877936415764762
10500.0,49.81799388635062,49.851720399144426,1.7952508786357537,1.026108453516712,1.3637311400238015
10800.0,49.85075954871513,49.96729264859954,1.7653494396655773,1.0086790829516554,1.340137427514771
