time_s,radius_cm,temperature_C,C_kg_per_kg
0.0,0.0,28.0,2.5500000000000003
0.0,0.1,28.0,2.55
0.0,0.2,28.0,2.55
0.0,0.30000000000000004,28.0,2.55
0.0,0.4,28.0,2.55
0.0,0.5,28.0,2.55
0.0,0.6000000000000001,28.0,2.55
0.0,0.7000000000000001,28.0,2.55
0.0,0.8,28.0,2.55
0.0,0.9,28.0,2.55
0.0,1.0,28.0,2.55
0.0,1.1,28.0,2.55
0.0,1.2000000000000002,28.0,2.55
0.0,1.3,28.0,2.55
0.0,1.4000000000000001,28.0,2.55
0.0,1.5,28.0,2.55
0.0,1.6,28.0,2.55
0.0,1.7000000000000002,28.0,2.55
0.0,1.8,28.0,2.55
0.0,1.9000000000000001,28.0,2.55
0.0,2.0,28.0,2.5025658044623342
3600.0,0.0,39.09116145890391,2.5499998858240605
3600.0,0.1,39.10448873024245,2.5499997851997014
3600.0,0.2,39.14452090949288,2.549999240094773
3600.0,0.30000000000000004,39.2111487918508,2.5499969710259576
3600.0,0.4,39.304158172099335,2.549988009032692
3600.0,0.5,39.423460076318406,2.5499540994893155
3600.0,0.6000000000000001,39.56857331185137,2.549834969579814
3600.0,0.7000000000000001,39.73930627218908,2.549442697383468
3600.0,0.8,39.935172969151495,2.5482511395484138
3600.0,0.9,40.15572149949071,2.5449165408038152
3600.0,1.0,40.400268078626425,2.5364492729176296
3600.0,1.1,40.66829045255213,2.516902850361002
3600.0,1.2000000000000002,40.95937175939156,2.4758917829288927
3600.0,1.3,41.27319957614799,2.398117781604261
3600.0,1.4000000000000001,41.60987454811681,2.2649903477305817
3600.0,1.5,41.97033127074354,2.058957710819845
3600.0,1.6,42.35709342214329,1.7694996408916184
3600.0,1.7000000000000002,42.77546701351878,1.3987991064151097
3600.0,1.8,nan,nan
3600.0,1.9000000000000001,nan,nan
3600.0,2.0,nan,nan
7200.0,0.0,48.1249694733246,2.544463540424098
7200.0,0.1,48.12850434481004,2.5436582721818777
7200.0,0.2,48.139093041274975,2.541004608464968
7200.0,0.30000000000000004,48.15670984521972,2.535744941237822
7200.0,0.4,48.181247801035454,2.5265419626252417
7200.0,0.5,48.21260230104485,2.511329347011909
7200.0,0.6000000000000001,48.25061785798772,2.4872404803634733
7200.0,0.7000000000000001,48.29514343866242,2.450494417516229
7200.0,0.8,48.34593953513678,2.3966991436698835
7200.0,0.9,48.40280852384916,2.3208556565859606
7200.0,1.0,48.46553125832264,2.217968419109668
7200.0,1.1,48.53381859092889,2.084163666313008
7200.0,1.2000000000000002,48.60753744026681,1.9162562387053808
7200.0,1.3,48.68656528132368,1.7133181960108999
7200.0,1.4000000000000001,48.770933394069345,1.4764039166409297
7200.0,1.5,48.86101671325474,1.2074123636218455
7200.0,1.6,48.95782191867397,0.9065143072372834
7200.0,1.7000000000000002,nan,nan
7200.0,1.8,nan,nan
7200.0,1.9000000000000001,nan,nan
7200.0,2.0,nan,nan
10800.0,0.0,49.81488088715895,2.4519113393587983
10800.0,0.1,49.81540013948285,2.447377627381897
10800.0,0.2,49.816966275907305,2.4334953323756903
10800.0,0.30000000000000004,49.81960042442836,2.409475170730532
10800.0,0.4,49.82333355505153,2.374119563300434
10800.0,0.5,49.828213027160245,2.3258749669587
10800.0,0.6000000000000001,49.834310475669554,2.2628709938747202
10800.0,0.7000000000000001,49.841701527122495,2.183335267490217
10800.0,0.8,49.850481169269244,2.085585683027164
10800.0,0.9,49.860765360294465,1.9681493006187918
10800.0,1.0,49.872664816014435,1.8302130645862527
10800.0,1.1,49.88632531194264,1.671184960597637
10800.0,1.2000000000000002,49.901893110011144,1.4911736109567748
10800.0,1.3,49.91955036284162,1.2905542997929085
10800.0,1.4000000000000001,49.93959838808132,1.069096113517473
10800.0,1.5,49.96260281189251,0.8241932186832187
10800.0,1.6,nan,nan
10800.0,1.7000000000000002,nan,nan
10800.0,1.8,nan,nan
10800.0,1.9000000000000001,nan,nan
10800.0,2.0,nan,nan
14400.0,0.0,49.99370338229994,2.239350679707109
14400.0,0.1,49.993758470500154,2.232344033403726
14400.0,0.2,49.99391429344922,2.2112257931233756
14400.0,0.30000000000000004,49.99414244282474,2.1757358134187914
14400.0,0.4,49.994396431445125,2.1255696784174893
14400.0,0.5,49.99461432553761,2.06020801849954
14400.0,0.6000000000000001,49.99472507452833,1.979333539367138
14400.0,0.7000000000000001,49.99465943610818,1.8825970730333597
14400.0,0.8,49.99437126986294,1.7698332328739494
14400.0,0.9,49.9938718807299,1.640957873081828
14400.0,1.0,49.9932936185877,1.49624991119902
14400.0,1.1,49.992984753964606,1.335904309054949
14400.0,1.2000000000000002,49.993654061482744,1.1601956669816316
14400.0,1.3,49.996624210663356,0.9685086987173599
14400.0,1.4000000000000001,50.00420454052653,0.7580344568867166
14400.0,1.5,nan,nan
14400.0,1.6,nan,nan
14400.0,1.7000000000000002,nan,nan
14400.0,1.8,nan,nan
14400.0,1.9000000000000001,nan,nan
14400.0,2.0,nan,nan
18000.0,0.0,49.998716564867266,1.978204959926065
18000.0,0.1,49.99871715654814,1.9706014505480558
18000.0,0.2,49.99871891563737,1.9477911424682983
18000.0,0.30000000000000004,49.998721832052354,1.9098244896399716
18000.0,0.4,49.99872588113027,1.8568328523813262
18000.0,0.5,49.99873103839758,1.7888793333655162
18000.0,0.6000000000000001,49.99873725937846,1.7063086716154197
18000.0,0.7000000000000001,49.99874450697962,1.6093873104746603
18000.0,0.8,49.99875273500015,1.4985389191090055
18000.0,0.9,49.9987618995886,1.374251463963761
18000.0,1.0,49.998771963894,1.2369183654193865
18000.0,1.1,49.998782894539545,1.0868472558601727
18000.0,1.2000000000000002,49.99879468737976,0.9236817051308565
18000.0,1.3,49.99880738766143,0.7453821319033846
18000.0,1.4000000000000001,49.998821140533664,0.5447428434828101
18000.0,1.5,nan,nan
18000.0,1.6,nan,nan
18000.0,1.7000000000000002,nan,nan
18000.0,1.8,nan,nan
18000.0,1.9000000000000001,nan,nan
18000.0,2.0,nan,nan
21600.0,0.0,49.99892624651579,1.7186249994910119
21600.0,0.1,49.99892626908911,1.711268960158861
21600.0,0.2,49.99892634054328,1.689220830680527
21600.0,0.30000000000000004,49.99892645750225,1.6526531045672914
21600.0,0.4,49.99892661809457,1.6018535813799493
21600.0,0.5,49.99892682183855,1.53710869090233
21600.0,0.6000000000000001,49.99892706907377,1.4589592136793756
21600.0,0.7000000000000001,49.9989273567582,1.367858842767305
21600.0,0.8,49.9989276834404,1.2644205684974934
21600.0,0.9,49.998928047943934,1.1491955653373844
21600.0,1.0,49.998928449095104,1.0224699417518976
21600.0,1.1,49.99892888678039,0.8841937466325602
21600.0,1.2000000000000002,49.998929361319256,0.7331660296661561
21600.0,1.3,49.99892987494184,0.564998592283596
21600.0,1.4000000000000001,nan,nan
21600.0,1.5,nan,nan
21600.0,1.6,nan,nan
21600.0,1.7000000000000002,nan,nan
21600.0,1.8,nan,nan
21600.0,1.9000000000000001,nan,nan
21600.0,2.0,nan,nan
25200.0,0.0,49.998934153938706,1.482253748150734
25200.0,0.1,49.99893415491198,1.475554635011595
25200.0,0.2,49.99893416167248,1.455514406940703
25200.0,0.30000000000000004,49.998934168094365,1.4223007535483574
25200.0,0.4,49.99893417408674,1.3761918317362871
25200.0,0.5,49.99893417987431,1.3176024192519278
25200.0,0.6000000000000001,49.998934186344854,1.2470182358396358
25200.0,0.7000000000000001,49.998934194315495,1.1649024002948831
25200.0,0.8,49.998934203887075,1.0718368549856976
25200.0,0.9,49.998934214413225,0.9681392609245921
25200.0,1.0,49.99893422528061,0.8539977293470702
25200.0,1.1,49.99893423616919,0.7287548373298969
25200.0,1.2000000000000002,49.99893424809147,0.5901295711227293
25200.0,1.3,49.99893426374905,0.43002836067324535
25200.0,1.4000000000000001,nan,nan
25200.0,1.5,nan,nan
25200.0,1.6,nan,nan
25200.0,1.7000000000000002,nan,nan
25200.0,1.8,nan,nan
25200.0,1.9000000000000001,nan,nan
25200.0,2.0,nan,nan
28800.0,0.0,49.99893417377069,1.2766289463935139
28800.0,0.1,49.99893417847909,1.2707298002887102
28800.0,0.2,49.99893418686577,1.2530764907018082
28800.0,0.30000000000000004,49.99893419469976,1.2238294650679136
28800.0,0.4,49.99893420161675,1.183256531521553
28800.0,0.5,49.99893420812066,1.1316950444287497
28800.0,0.6000000000000001,49.99893421474252,1.0695633811707201
28800.0,0.7000000000000001,49.99893422178758,0.9972384408713465
28800.0,0.8,49.998934229331155,0.9151648806217125
28800.0,0.9,49.99893423728622,0.8234854825936202
28800.0,1.0,49.99893424551573,0.7220411360492152
28800.0,1.1,49.99893425416951,0.6097426448547749
28800.0,1.2000000000000002,49.998934264315494,0.482962962973486
28800.0,1.3,49.99893427966026,0.3281142611116342
28800.0,1.4000000000000001,nan,nan
28800.0,1.5,nan,nan
28800.0,1.6,nan,nan
28800.0,1.7000000000000002,nan,nan
28800.0,1.8,nan,nan
28800.0,1.9000000000000001,nan,nan
28800.0,2.0,nan,nan
32400.0,0.0,49.99893419845955,1.103120565909542
32400.0,0.1,49.99893420276669,1.0979929490707756
32400.0,0.2,49.998934209196705,1.0826349367123136
32400.0,0.30000000000000004,49.998934215735574,1.0572015127605379
32400.0,0.4,49.9989342222118,1.021868677373593
32400.0,0.5,49.998934228564565,0.9769449932037876
32400.0,0.6000000000000001,49.99893423478443,0.9227164810027755
32400.0,0.7000000000000001,49.998934240947335,0.8595298645329499
32400.0,0.8,49.998934247206876,0.7875596865168655
32400.0,0.9,49.99893425375831,0.7068649721054271
32400.0,1.0,49.99893426092922,0.6169571899209557
32400.0,1.1,49.99893426916168,0.5162308332899732
32400.0,1.2000000000000002,49.9989342793246,0.3996617140791815
32400.0,1.3,nan,nan
32400.0,1.4000000000000001,nan,nan
32400.0,1.5,nan,nan
32400.0,1.6,nan,nan
32400.0,1.7000000000000002,nan,nan
32400.0,1.8,nan,nan
32400.0,1.9000000000000001,nan,nan
32400.0,2.0,nan,nan
36000.0,0.0,49.99893423673865,0.958223554991383
36000.0,0.1,49.998934239390735,0.9537674463174908
36000.0,0.2,49.99893424409595,0.9404261422375999
36000.0,0.30000000000000004,49.998934249427464,0.9182917959083324
36000.0,0.4,49.99893425490842,0.8875515207681757
36000.0,0.5,49.99893426027347,0.8483934709472868
36000.0,0.6000000000000001,49.99893426541951,0.8010732833797057
36000.0,0.7000000000000001,49.99893427041388,0.7457474165501435
36000.0,0.8,49.998934275425825,0.6825451462071835
36000.0,0.9,49.9989342807562,0.6113195217117147
36000.0,1.0,49.99893428677677,0.5313339733953236
36000.0,1.1,49.99893429396991,0.4404493098933344
36000.0,1.2000000000000002,49.99893430320196,0.33189292374122276
36000.0,1.3,nan,nan
36000.0,1.4000000000000001,nan,nan
36000.0,1.5,nan,nan
36000.0,1.6,nan,nan
36000.0,1.7000000000000002,nan,nan
36000.0,1.8,nan,nan
