scenario,q,hm_mult,pref_mult,exponent_mult,event_time_s,final_mean_C,balance_error,runtime_s
0,3,1.0718224371628389,0.9820794099232335,1.0074972895203562,228795.80317257377,0.12429861824014508,3.3354257884207544e-10,1.0668408000055933
1,4,1.1355599272225927,1.0546799617527052,1.0061231600846752,181786.64085786216,0.11797663979095709,3.09066889371834e-10,0.9046333000005689
2,3,1.1129024237042406,0.9524796792734813,0.9765202413149741,216073.72112132335,0.12364866247228418,3.164931047703705e-10,1.108956300013233
3,4,0.8071434979286289,1.0769024246578578,1.01280004436253,182961.6802906571,0.11802687078318187,5.716226168348419e-10,0.955761099990923
4,3,0.9830554193711044,0.992759972894685,1.0443292127619948,251704.5137313814,0.12498490988243215,4.4475882942879284e-10,1.2086198000033619
5,4,0.9366426265072395,1.0906681076574483,1.023825787830241,182626.1105242037,0.11822883078824853,3.062164365118138e-10,1.0267172000021674
6,3,0.7808952688344457,0.9458691163971316,1.0467851422745904,259200.0,0.1265251261463306,6.551956833926228e-10,1.2654041000059806
7,4,1.1298490817702884,0.9233034724024554,0.9771956782598454,195823.37370489087,0.1174672097839499,4.0760356690746006e-10,1.1461405999871204
8,3,1.1896829249544807,0.9628173936329348,0.9698028091629959,209235.6503221294,0.12354056415365273,3.3344279883878876e-10,1.09766739999759
9,4,0.9589719593798833,0.959249061243843,1.0444313021718459,211474.9177379938,0.11863299718782336,1.7658019910024283e-10,1.0774342999939108
10,3,1.0697172263447317,1.0279161482788721,1.0037559046468252,217117.93734350742,0.12420047517254754,3.4081826684499564e-10,1.0875853000034112
11,4,1.1744828657271542,1.0687955775920293,1.0172757100049106,182654.2593130788,0.11816286992473608,3.5350229952890144e-10,0.9843816999928094
12,3,0.9902146865593273,0.9012612308079881,1.052134045515851,259200.0,0.12854969761808213,9.479600794241446e-10,1.1895120999979554
13,4,0.9593028284721494,0.8861292300213598,1.0075897845133486,214243.27456355674,0.11794435566839896,2.262197275305745e-10,1.0908238999982132
14,3,1.1203619407160885,1.1158073167793252,0.9585215503125715,178166.0680298826,0.12321486016897364,4.1440573902454045e-10,1.0021582000044873
15,4,1.0811720318953677,1.0841031123438294,1.0323902125813302,185124.3128285721,0.11833598498720527,2.3246942981724612e-10,1.0419895999948494
16,3,0.9398185876975829,1.043871141995889,1.027802921366048,230442.94237854503,0.12459872874914876,4.908628472734686e-10,1.2004558999906294
17,4,0.840178333913822,1.0898486893604544,1.045733837437124,190029.46171634388,0.11855552779577899,7.242198296982338e-10,0.9853858999995282
18,3,1.211061873754311,0.9078644497904691,0.9728667071581225,222726.72597233803,0.1236391928017711,3.1594110217991057e-10,1.1170860999991419
19,4,1.0079804632801908,1.0574034487445645,1.0076342963734137,182504.69445379023,0.11792440717531036,1.8388878221540838e-10,1.0339563000015914
20,3,0.7986949760282378,1.0254811079303083,1.0287089633844824,238106.81218650687,0.12456113664859492,8.275008899904029e-10,1.270818999997573
21,4,0.9239257156104795,1.0166710913926489,0.9999446068542835,187388.76234011722,0.11781439567567267,1.0204424753348162e-09,0.9586140000028536
22,3,1.1795751764377105,1.0028300735268367,1.0434440415759743,246453.56366182407,0.12506286265303973,3.503925250140478e-10,1.2274653000058606
23,4,0.7831836631600277,1.0130808739303152,1.0000750628912911,189601.8887270672,0.1177296036151873,5.154759384520433e-10,1.055315099991276
24,3,1.2065165101969562,0.9592511864231761,0.955986374472627,202174.11352236517,0.12327691260142612,3.207859045109982e-10,1.0204190000076778
25,4,0.8183347672054679,1.02729156979263,1.0212055559546322,192987.1114286805,0.1181309483550107,5.791092189960993e-10,1.1137122999934945
26,3,0.8009310580246936,1.071120163717446,0.9579264991086183,191734.11071311712,0.12294785909403372,9.081675818977115e-10,1.0950143999943975
27,4,0.8074484660596981,0.8953893523416462,1.0465875522893227,227143.2068431777,0.11859644033971468,9.403693560900634e-10,1.1483995000016876
28,3,1.1699664809538253,1.045238769031403,1.055792201163734,245330.68395805688,0.12530319719432634,3.7120853756461883e-10,1.2723607000079937
29,4,0.8646496315493212,0.9027530777662256,0.9472722445856792,192552.69505135136,0.11691425272868422,9.86515657425281e-10,1.0287618000002112
30,3,0.8344363541640101,0.9579666699133854,0.9514428966420454,206671.85392103146,0.1229705803929239,6.249346442566331e-10,1.276638900002581
31,4,1.1069073376599237,0.9791109974430636,1.051639930863459,209250.06887379516,0.1187383563216587,3.649569866552178e-10,1.3631529999984195
32,3,0.955383474384701,1.077949506930762,1.0599849368669543,243746.09068684344,0.12526950005196483,4.1653548057106173e-10,1.3474455999967176
33,4,1.001322450033745,0.9940437414058765,1.0009005624297027,190875.5272499965,0.11781133978201389,2.0504973309580866e-10,1.1949884999921778
34,3,0.8003926565289432,0.915637294089909,0.9835280604341772,234372.35839005897,0.1236443424100702,5.862070765249577e-10,1.4856170999992173
35,4,1.177631982198068,1.1163719635565048,0.9627220957978395,161380.4776290828,0.11719652905674678,2.926333659401783e-10,1.0803607999987435
36,3,0.8766838601853786,0.9958381579970998,0.949127424002367,197465.14245102063,0.12287930393524524,7.674905119453363e-10,1.2814541999978246
37,4,1.0107960897894532,1.060182779275714,1.0214718233040505,186042.37151201864,0.11814689321863212,1.9352275474934935e-10,1.152735700001358
38,3,1.0991836515208244,1.0263053725535727,0.941163620882848,184056.89816065633,0.12284099947230752,3.2220726106990804e-10,1.2140673000103561
39,4,1.0469230491035513,0.9455602899582949,1.050783828611864,215975.43160044655,0.11875809658665025,3.732152334517497e-10,1.3396667999913916
40,3,0.7819256386129049,0.9928835918222255,0.9817637004775972,217769.74340891832,0.12357149702406317,7.603935189309386e-10,1.4287106999981916
41,4,1.1908891228502634,1.0619800307816276,0.9511592074870415,165633.8379094398,0.11690102637526097,3.294852375275494e-10,1.1221518000093056
