question,resolution,baseline_final_max_C,candidate_final_max_C,candidate_minus_baseline_final_max_C,baseline_final_mean_C,candidate_final_mean_C,candidate_minus_baseline_final_mean_C,baseline_event_time_s,candidate_event_time_s,candidate_minus_baseline_event_time_s,candidate_temperature_range_C,candidate_max_abs_internal_minus_environment_C,baseline_temperature_range_C
Q2,coarse,1.7265427082028952,1.7648196126969389,0.03827690449404364,1.311043942755252,1.3323227805316495,0.021278837776397497,,,,0.24915772889698928,0.39079281192869075,0.0
Q2,spatial,1.729577753222509,1.7678705966561559,0.03829284343364692,1.3098633804420399,1.3310079850220427,0.02114460458000278,,,,0.25089053010322004,0.39087612454886766,0.0
Q2,time,1.7249426372916659,1.763312873195944,0.03837023590427813,1.3096508666970645,1.3311196135520311,0.02146874685496658,,,,0.22362767877660872,0.34899525002805376,0.0
Q2,refined,1.72796484907757,1.766348657580762,0.03838380850319201,1.3081115064465465,1.329418680058165,0.0213071736116186,,,,0.22846001410891859,0.3491508730647297,0.0
Q3,coarse,0.14993629910724604,0.14993638714134797,8.803410192492755e-08,0.12289941508536498,0.12289735811913033,-2.0569662346481277e-06,213120.0,213420.0,300.0,9.663381206337363e-13,1.1937117960769683e-12,0.0
Q3,spatial,0.14996423644357967,0.14996383451833595,-4.019252437259535e-07,0.12204362093814876,0.12204112830403777,-2.492634110992653e-06,208980.0,209280.0,300.0,1.574562702444382e-11,1.722355591482483e-11,0.0
Q3,time,0.149995106198983,0.14997982721664954,-1.5278982333472024e-05,0.1229405244914746,0.12292752700279978,-1.2997488674823532e-05,212520.0,212820.0,300.0,1.0231815394945443e-12,1.2505552149377763e-12,0.0
Q3,refined,0.1499912379807587,0.14997492843291374,-1.6309547844955974e-05,0.12206184771477277,0.12204815028185693,-1.369743291583514e-05,208440.0,208740.0,300.0,4.433786671143025e-12,5.286437954055145e-12,0.0
Q4,coarse,0.149967501458462,0.14995942641406115,-8.075044400840392e-06,0.11698914866981108,0.11698131617841888,-7.832491392203988e-06,186540.0,186840.0,300.0,1.0800249583553523e-12,1.3073986337985843e-12,0.0
Q4,spatial,0.14989127713486897,0.14988213948719484,-9.137647674128946e-06,0.1164058105089468,0.11639727439845866,-8.536110488135962e-06,184920.0,185220.0,300.0,2.4272139853565022e-11,2.5920599000528455e-11,0.0
Q4,time,0.14999660501979775,0.14995824730934873,-3.835771044902181e-05,0.11700785626495638,0.11697991787549317,-2.7938389463216806e-05,186120.0,186420.0,300.0,9.094947017729282e-13,1.0800249583553523e-12,0.0
Q4,refined,0.1499515104192243,0.1499728352527581,2.132483353378678e-05,0.1164448083882569,0.11645631913218357,1.1510743926676503e-05,184500.0,184800.0,300.0,4.774847184307873e-12,5.343281372915953e-12,0.0
