label,group,time_s,radius_m,length_m,volume_half_m3,max_C,min_C,mean_C,center_C,side_surface_C,end_surface_C,center_T_C,side_surface_T_C,end_surface_T_C,hm_effective_m_s,hrad_W_m2K
length-A-no-axial-shrink,length_sensitivity,0.0,0.02,0.25,0.00015707963267948965,2.55,2.55,2.55,2.55,1.9699041170216558,1.97624025336608,28.0,28.0,28.0,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,3600.0,0.01794,0.25,0.0001263876861706115,2.5498482723421674,0.5503802895167491,2.1478771561350656,2.5498482723421403,1.0292927814118393,0.9154744401237812,47.485000000000014,47.485000000000014,47.485000000000014,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,7200.0,0.01625,0.25,0.00010369710126106936,2.5280755528769476,0.33782747943185043,1.8396585395431557,2.5280755528760968,0.8111928211940654,0.6477674708852055,49.851999999999975,49.85199999999992,49.85200000000003,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,10800.0,0.01552,0.25,9.458958488840438e-05,2.407560624491977,0.22838142072082537,1.582340597209695,2.4075606244899976,0.6574335712811258,0.48047077189085324,50.19499999999999,50.194999999999936,50.194999999999936,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,14400.0,0.01477,0.25,8.566844349991359e-05,2.1916242463602034,0.16726849033910585,1.364550940586699,2.191624246358286,0.549647481961471,0.369085192958315,50.16500000000002,50.16500000000002,50.16500000000002,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,18000.0,0.01424,0.25,7.96305773090712e-05,1.9367330207968885,0.13112417765118436,1.1771160271549594,1.9367330207951061,0.4656170576703832,0.2907984004977603,49.99893442622948,49.998934426229425,49.99893442622948,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,21600.0,0.01374,0.25,7.413671715610605e-05,1.6845746110377107,0.10897222861615717,1.0156605380721584,1.6845746110362945,0.39766214870382777,0.2338162939533874,49.99893442622948,49.998934426229425,49.99893442622954,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,25200.0,0.01337,0.25,7.019767047731065e-05,1.4548450748643944,0.09476828431287228,0.8771565327297245,1.4548450748639155,0.3394630269441154,0.1911337706845897,49.99893442622948,49.998934426229425,49.99893442622954,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,28800.0,0.01311,0.25,6.749401583963128e-05,1.2547653754917356,0.08531078059288189,0.7595450683243022,1.2547653754917356,0.2893175865027017,0.15885522294238186,49.99893442622948,49.99893442622948,49.99893442622948,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,32400.0,0.01291,0.25,6.545040981847112e-05,1.085753745071479,0.07877682388616246,0.661159607296929,1.085753745071479,0.24665343606523046,0.13446177724949157,49.99893442622948,49.998934426229425,49.99893442622948,8e-07,0.0
