label,group,alpha,nr,nz,dt,duration,hm_mode,hm_value,airflow_u,thermal_mode,radiation_on,terminal_window_s,runtime_s,steps_completed,max_cg_iterations,max_linear_relative_residual,max_picard_iterations,max_picard_update,max_normalized_moisture_balance_error,max_robin_boundary_relative_residual,max_geometry_relative_error,max_boundary_area_relative_error,max_dry_solid_inventory_relative_error,max_local_dry_cell_mass_relative_error,max_analytic_dry_continuity_relative_residual,max_abs_Rdot_m_s,max_abs_Ldot_m_s,max_abs_axial_material_speed_m_s,hm_min_m_s,hm_max_m_s,hrad_min_W_m2K,hrad_max_W_m2K,threshold,threshold_bracket,interpolated_event_time_s,reported_event_time_s,final_time_s,final_max_C,final_mean_C,radius_at_final_m,length_at_final_m,volume_ratio_final,dry_density_ratio_final
length-B-radius-proportional-fine-control,convergence_control,1.0,210,32,60.0,259200.0,frozen,8e-07,0.0,prescribed,False,3600,166.35269719999633,3064,176,4.999973379782977e-11,7,9.989174716562577e-08,9.578443485900733e-10,1.3568285971411556e-07,2.220446049250313e-16,3.3306690738754696e-16,4.440892098500626e-16,2.524647157997606e-13,2.524647157997606e-13,8.354541531823089e-07,1.044317691477886e-05,5.22158845738943e-06,8e-07,8e-07,0.0,0.0,0.149999,"(183780.0, 183840.0, 0.1500032196958626, 0.1499724329181462)",183788.22371714536,183840.0,183840.0,0.1499724329181462,0.11481893698181161,0.011999999999999999,0.14999999999999997,0.21599999999999994,4.6296296296296315
length-C-upper-envelope-alpha2-fine-control,convergence_control,2.0,210,32,60.0,259200.0,frozen,8e-07,0.0,prescribed,False,3600,301.9845271999948,3060,182,4.9999022274039056e-11,7,9.993798152918565e-08,9.075642391876205e-10,1.4071562782481927e-07,3.3306690738754696e-16,3.3306690738754696e-16,6.661338147750939e-16,2.8754776337791554e-13,2.8754776337791554e-13,8.354541531823089e-07,2.08601255034644e-05,1.04300627517322e-05,8e-07,8e-07,0.0,0.0,0.149999,"(183540.0, 183600.0, 0.15001512462151106, 0.1499842662296509)",183571.35216167607,183600.0,183600.0,0.1499842662296509,0.11259706860134008,0.012,0.09,0.1296,7.716049382716052
