case_id,candidate,question,axis,space_level,time_level,nr,nz,dt_s,duration_s,fixed_variable,threshold_C,status,threshold_status,failure_reason,runtime_s,reported_event_time_s,interpolated_event_time_s,final_time_s,final_max_C,final_mean_C,max_linear_relative_residual,normalized_moisture_balance_error,max_physical_heat_balance_relative,max_physical_heat_balance_residual_J,latent_integral_J_est,latent_peak_power_W,water_balance_max_abs_kg_s,latent_mass_closure,recorded_temperature_min_C,recorded_temperature_max_C,recorded_temperature_range_C,final_field_temperature_min_C,final_field_temperature_max_C,final_field_temperature_range_C
Q2-space-L,nominal_proxy,Q2,space,L,M,8,8,120.0,10800.0,dt=M,,PASS,NOT_APPLICABLE,,1.0358267999981763,,,10800.0,2.513262453352032,1.766003069468151,4.99933420090495e-11,1.073694916510155e-09,1.6690390957546725e-09,3.3465314999148177e-06,189452.4138009412,46.42273801908125,2.767631535462254e-14,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,-7.030241284614419,27.999999999999943,35.03024128461436,13.208224393477849,22.861885029670248,9.653660636192399
Q2-space-M,nominal_proxy,Q2,space,M,M,12,12,120.0,10800.0,dt=M,,PASS,NOT_APPLICABLE,,1.5393433000135701,,,10800.0,2.5207786951783078,1.757251568797426,4.99888892526277e-11,2.331157787310127e-09,1.6244301764189717e-09,3.2362184754219925e-06,191354.2313682869,47.21959460240826,5.031081955664436e-14,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,-7.746495245456856,28.000000000000057,35.74649524545691,13.425512586584603,24.172495559171125,10.746982972586522
Q2-space-H,nominal_proxy,Q2,space,H,M,18,18,120.0,10800.0,dt=M,,PASS,NOT_APPLICABLE,,2.401266900007613,,,10800.0,2.5243206259705695,1.7524678379342291,4.998512479650514e-11,8.023454080395718e-10,1.1609438571030662e-09,2.7926662369281985e-06,192383.98949681854,47.55467250331392,2.939909058384538e-14,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,-8.111163383581072,28.0,36.11116338358107,13.560875548763647,25.029653356466554,11.468777807702907
Q2-space-X,nominal_proxy,Q2,space,X,M,27,27,120.0,10800.0,dt=M,,PASS,NOT_APPLICABLE,,3.786696299997857,,,10800.0,2.525848751928118,1.7498559956531174,4.9979683260559705e-11,1.1341406464939612e-09,1.0857732106182144e-09,2.1504554297280265e-06,192951.63316263643,47.69080227361116,2.797320379076696e-14,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,-8.307307823000713,28.0,36.30730782300071,13.650771247863133,25.517979597155886,11.867208349292753
Q2-time-L,nominal_proxy,Q2,time,M,L,12,12,240.0,10800.0,grid=M,,PASS,NOT_APPLICABLE,,1.0698587999941083,,,10800.0,2.518709163647981,1.7580157425008414,4.9838969606656625e-11,8.989201493746134e-10,9.493253245580875e-10,3.6273585237722727e-06,188499.92282080845,45.207990480716774,1.7306478922477983e-14,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,-7.741123812013257,28.000000000000057,35.74112381201331,13.375640710432378,24.096321558548993,10.720680848116615
Q2-time-M,nominal_proxy,Q2,time,M,M,12,12,120.0,10800.0,grid=M,,PASS,NOT_APPLICABLE,,1.4569748000067193,,,10800.0,2.5207786951783078,1.757251568797426,4.99888892526277e-11,2.331157787310127e-09,1.6244301764189717e-09,3.2362184754219925e-06,191354.2313682869,47.21959460240826,5.031081955664436e-14,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,-7.746495245456856,28.000000000000057,35.74649524545691,13.425512586584603,24.172495559171125,10.746982972586522
Q2-time-H,nominal_proxy,Q2,time,M,H,12,12,60.0,10800.0,grid=M,,PASS,NOT_APPLICABLE,,2.6028596999967704,,,10800.0,2.5217932696767615,1.7568223513671855,4.994832902187475e-11,1.3923918677150267e-09,3.992399384451254e-09,3.8301642319993334e-06,192868.14539328974,48.64857598667026,7.889046336226162e-14,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,-7.778362533758184,28.000000000000057,35.77836253375824,13.468203022395642,24.21342008058116,10.745217058185517
Q2-time-X,nominal_proxy,Q2,time,M,X,12,12,30.0,10800.0,grid=M,,PASS,NOT_APPLICABLE,,4.147636500012595,,,10800.0,2.5223300750084308,1.756673135072196,4.9994975069576814e-11,1.0293622180089339e-09,4.7625909781598946e-09,2.585405582067324e-06,193637.85707298203,49.611725271899985,4.28673472790248e-14,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,-7.8000479571987285,28.000000000000057,35.800047957198785,13.478069216038023,24.230614749637994,10.752545533599971
Q3-space-L,nominal_proxy,Q3,space,L,M,8,8,300.0,259200.0,dt=M,0.149999,PASS,REACHED,,8.99899199999345,250080.0,250030.02945376872,250080.0,0.14995521349439503,0.12370384767177778,4.9999020603798955e-11,8.430319583028688e-10,1.7159806975850552e-07,5.140983461160431e-06,590498.6792399354,43.833821016559995,2.1819309529188917e-14,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,-2.3226130850349023,49.87557965268019,52.19819273771509,49.87040735456668,49.95042382571614,0.08001647114946309
Q3-space-M,nominal_proxy,Q3,space,M,M,12,12,300.0,259200.0,dt=M,0.149999,PASS,REACHED,,12.234814700001152,240900.0,240859.60296160428,240900.0,0.14998783501419963,0.12274487040200069,4.9984291050589546e-11,1.0564068848134074e-09,1.244797000914873e-07,4.380029764661231e-06,590307.5056294391,44.41832263691597,2.199286149788364e-14,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,-2.2850129696085446,49.86662373633942,52.151636705947965,49.865563475721785,49.95053517608113,0.08497170035934687
