time_s,radius_m,max_C,min_C,mean_C,center_C,surface_C,center_T_C,surface_T_C
0.0,0.02,2.5500000000000003,2.55,2.55,2.5500000000000003,2.442008549036607,28.000000000000057,28.000000000000057
720.0,0.02,2.5499402456519604,1.6978034573265743,2.424297431814683,2.5499402456519604,1.9489516662156428,34.26800000000003,34.26800000000003
1200.0,0.02,2.549364432904811,1.4833715875171944,2.3491816380769164,2.549364432904811,1.830818191527632,37.882000000000005,37.88200000000012
1920.0,0.02,2.544004255352103,1.2979661058031824,2.243727377619837,2.544004255352103,1.7162434355416807,41.952000000000055,41.95200000000011
2400.0,0.02,2.5336462253526704,1.2136480185465144,2.177089462029522,2.5336462253526704,1.6585737242326022,44.10200000000003,44.10200000000009
3120.0,0.02,2.502272895291471,1.1143645269290376,2.081564394568997,2.502272895291471,1.5850747068237436,46.51200000000006,46.51200000000006
3600.0,0.02,2.4703917470793564,1.0562006523616723,2.0206405822750346,2.4703917470793564,1.5387709546107622,47.485000000000014,47.485000000000014
4320.0,0.02,2.4088522428770562,0.978105626370922,1.9330812012899483,2.4088522428770562,1.4734567042818247,48.61499999999995,48.615000000000066
4800.0,0.02,2.361205724712415,0.9304337062592327,1.8771246736840317,2.361205724712415,1.431387325293135,48.97900000000004,48.97900000000004
5520.0,0.02,2.28429739652421,0.8635452910518424,1.7966696416994683,2.28429739652421,1.3700670439288427,49.32100000000008,49.32100000000008
6000.0,0.02,2.2306210936914384,0.8238258717247753,1.745184047973341,2.2306210936914384,1.332434346470526,49.742999999999995,49.74300000000005
6720.0,0.02,2.149749335228994,0.765836475131226,1.671073543092688,2.149749335228994,1.2749796458533817,49.63300000000004,49.63300000000004
7200.0,0.02,2.0959625071000696,0.7309830496246703,1.623644468137652,2.0959625071000696,1.239594285944008,49.851999999999975,49.851999999999975
7920.0,0.02,2.017436672899267,0.6803378677302793,1.5554250357446209,2.017436672899267,1.1866503999491822,49.928999999999974,49.928999999999974
8400.0,0.02,1.9659645692883494,0.6497911398898224,1.5117310848950465,1.9659645692883494,1.1534421574595155,49.91500000000002,49.914999999999964
9120.0,0.02,1.891537209598824,0.6053352396738951,1.4488591905362236,1.891537209598824,1.1040498870784816,49.82000000000005,49.82000000000005
9600.0,0.02,1.8436334890038102,0.5775172133401277,1.40864383340333,1.8436334890038102,1.0724363414676452,49.803999999999974,49.803999999999974
10320.0,0.02,1.774037362970593,0.5389103755187827,1.3507200925591754,1.774037362970593,1.0274081127976502,49.87800000000004,49.87800000000004
10800.0,0.02,1.7290574468237598,0.5152632846772871,1.3136192868207206,1.7290574468237598,0.9993804346728452,50.19500000000005,50.19500000000011
