scenario,question,level,time_s,sensible_inventory_change_J,fixed_volume_sensible_change_J,geometry_heat_term_J,geometry_reference_temperature_K,surface_convection_in_W,surface_latent_out_W,linear_solver_relative_residual,physical_heat_balance_residual_J,physical_heat_balance_relative
no_latent,Q2,L,120.0,48.01855835219648,48.01855835219648,0.0,301.15,0.4001546549768274,0.0,2.1890436928160845e-11,-2.450228109296404e-07,5.10266901147319e-09
no_latent,Q2,L,240.0,76.30960583121811,76.30960583121811,0.0,301.24165542846254,0.6359134103208471,0.0,3.6439252917395166e-11,-3.4072835433107684e-06,4.465077959790731e-08
no_latent,Q2,L,360.0,118.58960673567255,118.58960673567255,0.0,301.3878461752566,0.988246732260549,0.0,1.5634647183621846e-11,-1.1355933366985482e-06,9.575825041358461e-09
no_latent,Q2,L,480.0,139.5495115915592,139.5495115915592,0.0,301.6160048792947,1.1629126080249825,0.0,1.8702130449848992e-11,-1.371438713704265e-06,9.827613759339363e-09
no_latent,Q2,L,600.0,169.34391621030392,169.34391621030392,0.0,301.8855271311877,1.4111993179430335,0.0,2.6480159879479246e-11,-1.942860109238609e-06,1.1472866167424911e-08
no_latent,Q2,L,720.0,195.91854643509274,195.91854643509274,0.0,302.2139568370247,1.632654559527734,0.0,1.1078742097252918e-11,-7.082353477017023e-07,3.61494793641757e-09
no_latent,Q2,L,840.0,212.6688777766097,212.6688777766097,0.0,302.59547453207546,1.7722406570529257,0.0,1.4224355355310274e-11,-1.069741387027534e-06,5.0300795905375525e-09
no_latent,Q2,L,960.0,231.40101190926342,231.40101190926342,0.0,303.01124538250474,1.9283417786204502,0.0,1.9199697527751805e-11,-1.525190612028382e-06,6.591114660180186e-09
no_latent,Q2,L,1080.0,249.748979480344,249.748979480344,0.0,303.4654514422977,2.0812415101311577,0.0,2.2663074846965445e-11,-1.735394931756673e-06,6.948556599947044e-09
no_latent,Q2,L,1200.0,260.2269193217484,260.2269193217484,0.0,303.9576244808681,2.168557678920053,0.0,2.7143441732811026e-11,-2.14865792713681e-06,8.256862568238008e-09
no_latent,Q2,L,1320.0,272.93770675337237,272.93770675337237,0.0,304.47243656657577,2.274480911586499,0.0,3.308189448503076e-11,-2.6370074692749768e-06,9.661572507385902e-09
no_latent,Q2,L,1440.0,276.9481094788215,276.9481094788215,0.0,305.01450492703765,2.307900934177713,0.0,3.4145169960604266e-11,-2.622504098326317e-06,9.469297618345327e-09
no_latent,Q2,L,1560.0,277.49909536593407,277.49909536593407,0.0,305.5666320849196,2.3124924734354226,0.0,2.3574015424657886e-11,-1.446316673536785e-06,5.2119689402640766e-09
no_latent,Q2,L,1680.0,276.6015366812653,276.6015366812653,0.0,306.12195056235606,2.3050128182994496,0.0,2.4042161243258314e-11,-1.5146686109801522e-06,5.475994894530265e-09
no_latent,Q2,L,1800.0,289.1053049321477,289.1053049321477,0.0,306.6775645475876,2.4092108902729477,0.0,2.718457032984078e-11,-1.9006060369974875e-06,6.574095985366953e-09
no_latent,Q2,L,1920.0,282.1996507948954,282.1996507948954,0.0,307.2605452767063,2.3516637711640387,0.0,2.6529094694548145e-11,-1.7447892446398328e-06,6.1828185433164906e-09
no_latent,Q2,L,2040.0,284.23643328739223,284.23643328739223,0.0,307.83168689051274,2.3686369604602,0.0,2.745870564846971e-11,-1.9678317357829656e-06,6.923221275330144e-09
no_latent,Q2,L,2160.0,276.46143394977025,276.46143394977025,0.0,308.40910572992993,2.3038452982924507,0.0,2.6320093254781815e-11,-1.8453238226356916e-06,6.674796494956341e-09
no_latent,Q2,L,2280.0,275.6934954779926,275.6934954779926,0.0,308.97277876755766,2.297445812223704,0.0,2.6746455727949125e-11,-1.9888518636435037e-06,7.213996274550102e-09
no_latent,Q2,L,2400.0,275.5800372429744,275.5800372429744,0.0,309.5369657839149,2.296500327868917,0.0,2.739738283939498e-11,-2.1012955926380528e-06,7.624991990123772e-09
no_latent,Q2,L,2520.0,275.07528062507447,275.07528062507447,0.0,310.10299649178586,2.2922940224819865,0.0,2.7583990687136695e-11,-2.072763891192153e-06,7.535260423485667e-09
no_latent,Q2,L,2640.0,271.154336133963,271.154336133963,0.0,310.67005404422906,2.2596194849123883,0.0,2.722949745256074e-11,-2.0555235664687643e-06,7.580640531859515e-09
no_latent,Q2,L,2760.0,256.28095135113074,256.28095135113074,0.0,311.23104239713894,2.1356746098940964,0.0,2.4496223489350467e-11,-1.836160834045586e-06,7.1646402559760626e-09
no_latent,Q2,L,2880.0,255.22512849571208,255.22512849571208,0.0,311.7631279240807,2.1268760873095904,0.0,2.4719401834601237e-11,-1.9814387712813186e-06,7.763494008513037e-09
no_latent,Q2,L,3000.0,238.89006966091648,238.89006966091648,0.0,312.2949357671817,1.990750605913725,0.0,3.759279798835896e-11,-3.0487305195947556e-06,1.2762064513665493e-08
no_latent,Q2,L,3120.0,242.81619447359472,242.81619447359472,0.0,312.7944469813088,2.0234683031956866,0.0,2.2903125931240813e-11,-1.909887686224465e-06,7.86556957348989e-09
no_latent,Q2,L,3240.0,232.6845622928464,232.6845622928464,0.0,313.3040075141664,1.9390380453043856,0.0,3.7953659788203643e-11,-3.1436798622053175e-06,1.3510478687349282e-08
no_latent,Q2,L,3360.0,219.8279628356598,219.8279628356598,0.0,313.7940126399589,1.8318997126161933,0.0,3.30525698164078e-11,-2.6782834083860507e-06,1.2183542717708375e-08
no_latent,Q2,L,3480.0,206.1158025989556,206.1158025989556,0.0,314.25854870054934,1.7176317089128623,0.0,2.95560075711347e-11,-2.4705878729491815e-06,1.1986406729535393e-08
no_latent,Q2,L,3600.0,208.58809877437955,208.58809877437955,0.0,314.6956169868644,1.7382341781463047,0.0,3.087012721319724e-11,-2.6031770232748386e-06,1.2479988101348777e-08
no_latent,Q2,L,3720.0,197.8386697299619,197.8386697299619,0.0,315.1394991074393,1.6486556014694949,0.0,2.871835730502287e-11,-2.4463774650484993e-06,1.2365517005027064e-08
no_latent,Q2,L,3840.0,190.81375407293967,190.81375407293967,0.0,315.56195522154036,1.590114636285676,0.0,2.6757349402086862e-11,-2.281341437537776e-06,1.195585413298003e-08
no_latent,Q2,L,3960.0,181.02363616796356,181.02363616796356,0.0,315.9708180207572,1.50853031795481,0.0,2.3804959948097872e-11,-1.98661362560415e-06,1.0974332666476234e-08
no_latent,Q2,L,4080.0,163.0434868793586,163.0434868793586,0.0,316.36002802062285,1.358695746904868,0.0,3.176365840414718e-11,-2.749225558318358e-06,1.686191558203974e-08
no_latent,Q2,L,4200.0,159.84133575185433,159.84133575185433,0.0,316.71175849394183,1.3320111534523167,0.0,2.9824961217966817e-11,-2.662423668198244e-06,1.6656665257004756e-08
no_latent,Q2,L,4320.0,164.57167397881184,164.57167397881184,0.0,317.0577732759826,1.371430639690922,0.0,3.136112347415794e-11,-2.7840987968374975e-06,1.6917241481645687e-08
no_latent,Q2,L,4440.0,140.7660472538742,140.7660472538742,0.0,317.41526219241723,1.173050410502318,0.0,2.4732274727912392e-11,-2.006403974519344e-06,1.425346512929036e-08
no_latent,Q2,L,4560.0,139.05968242586073,139.05968242586073,0.0,317.7220439716167,1.1588307033293745,0.0,2.2890072526718336e-11,-1.9736642116185976e-06,1.4192928886190829e-08
no_latent,Q2,L,4680.0,137.10653005885456,137.10653005885456,0.0,318.02614394834666,1.1425544334710043,0.0,2.2400200256456057e-11,-1.957665944019027e-06,1.4278429446258185e-08
no_latent,Q2,L,4800.0,131.75846126048702,131.75846126048702,0.0,318.3269913376983,1.0979871924705684,0.0,2.1207791991063278e-11,-1.8359811804202764e-06,1.393444593442203e-08
no_latent,Q2,L,4920.0,127.37457524408701,127.37457524408701,0.0,318.6170766253885,1.061454807990174,0.0,1.9892744341371835e-11,-1.7147338695622238e-06,1.3462135934053643e-08
no_latent,Q2,L,5040.0,105.09635020829226,105.09635020829226,0.0,318.8984488398088,0.875802940664507,0.0,3.4050545162039835e-11,-2.6714485841239366e-06,2.5419041773797887e-08
no_latent,Q2,L,5160.0,113.64044357914827,113.64044357914827,0.0,319.13135970858906,0.9470037118848775,0.0,2.4180628977972822e-11,-1.8470370406475922e-06,1.6253342141705416e-08
no_latent,Q2,L,5280.0,96.1412347883277,96.1412347883277,0.0,319.38406724834755,0.8011769759084459,0.0,2.9757760384471256e-11,-2.320685823065105e-06,2.413829791303501e-08
no_latent,Q2,L,5400.0,91.11395908865073,91.11395908865073,0.0,319.59855345108787,0.7592830082547304,0.0,2.560385620742438e-11,-1.9019169172906913e-06,2.0874044950011368e-08
no_latent,Q2,L,5520.0,91.88257893255813,91.88257893255813,0.0,319.80249908104616,0.7656881712556144,0.0,2.7422857008682e-11,-1.618115589963054e-06,1.7610689428456517e-08
no_latent,Q2,L,5640.0,83.59984030034649,83.59984030034649,0.0,320.0088527393222,0.6966653500952945,0.0,2.267528881742506e-11,-1.7110888563820481e-06,2.0467608732418347e-08
no_latent,Q2,L,5760.0,79.99937889756812,79.99937889756812,0.0,320.1972188680126,0.6666615065704192,0.0,2.8904438433255147e-11,-1.890882188604337e-06,2.3636210305234362e-08
no_latent,Q2,L,5880.0,70.62980388326613,70.62980388326613,0.0,320.3780657444325,0.5885817131759561,0.0,2.2002993920568652e-11,-1.6978486030438944e-06,2.403869852216996e-08
no_latent,Q2,L,6000.0,81.86576275861191,81.86576275861191,0.0,320.5382503417402,0.6822146960506528,0.0,2.363406986232806e-11,-7.674664175283397e-07,9.374693210842201e-09
no_latent,Q2,L,6120.0,63.71460045148112,63.71460045148112,0.0,320.724544118874,0.5309550212783207,0.0,4.4642999714540733e-11,-2.1019173672698344e-06,3.298957041297152e-08
no_latent,Q2,L,6240.0,70.08113924656654,70.08113924656654,0.0,320.8699924771304,0.5840095060426284,0.0,4.819756309420545e-11,-1.4785488673396685e-06,2.109767124281115e-08
no_latent,Q2,L,6360.0,58.944633829636615,58.944633829636615,0.0,321.03050713078045,0.49120529512812,0.0,3.712814420257591e-11,-1.585737784637331e-06,2.690215612435066e-08
no_latent,Q2,L,6480.0,48.72812565205214,48.72812565205214,0.0,321.1659447649618,0.4060677178821266,0.0,3.0309466670615393e-11,-4.938030500056811e-07,1.0133840331302869e-08
no_latent,Q2,L,6600.0,53.11898303692398,53.11898303692398,0.0,321.27826308922585,0.44265819887037106,0.0,2.7351743197084537e-11,-8.275205516383721e-07,1.5578621642125902e-08
no_latent,Q2,L,6720.0,46.67792881273487,46.67792881273487,0.0,321.401108266753,0.38898274638540403,0.0,2.362800615451251e-11,-7.53513617723911e-07,1.614282434387912e-08
no_latent,Q2,L,6840.0,41.371929116074114,41.371929116074114,0.0,321.50940231744283,0.3447660762022765,0.0,2.1767113771749922e-11,-2.8199067969580938e-08,6.815990588991988e-10
no_latent,Q2,L,6960.0,50.074056335795305,50.074056335795305,0.0,321.60569344907543,0.41728380740720944,0.0,2.3724102732428504e-11,-5.530698246047905e-07,1.1045037270143286e-08
no_latent,Q2,L,7080.0,39.9452501224993,39.9452501224993,0.0,321.72262677453466,0.3328770853124461,0.0,2.0978704559704998e-11,-1.1499422924998726e-07,2.8787960662730063e-09
no_latent,Q2,L,7200.0,40.345892192915834,40.345892192915834,0.0,321.8161999886099,0.33621574071823573,0.0,3.9236039122432534e-11,3.3067275424514264e-06,8.195946012645225e-08
no_latent,Q2,L,7320.0,27.961853059014107,27.961853059014107,0.0,321.9110168652061,0.23301543297512245,0.0,3.8455973240844935e-11,1.1019994126115762e-06,3.941081480851008e-08
no_latent,Q2,L,7440.0,25.85823468892157,25.85823468892157,0.0,321.9769297301967,0.2154852596589303,0.0,3.3585772426709526e-11,3.5298499341251954e-06,1.3650776924990503e-07
