time_s,max_C,interpolated_event_time_s,reported_event_time_s,threshold
206700,0.1500335767844341,206818.71137262788,206820.0,0.149999
206760,0.1500160959412564,206818.71137262788,206820.0,0.149999
206820,0.1499986247694974,206818.71137262788,206820.0,0.149999
