scope,family,level,nr,nz,dt_s,metric,value,adjacent_change,observed_order,runtime_s
threshold,SMOKE-Q3,1,20,12,30,interpolated_event_time_s,,,,0.4064785000082338
threshold,SMOKE-Q4,1,20,12,30,interpolated_event_time_s,,,,0.3290142000041669
