question,time_s,radius_cm,temperature_C,C_kg_per_kg
Q1,100,0,28.000104253016502,2.55
Q1,100,0.5,28.000509912918744,2.5499999999999945
Q1,100,1.0,28.004745171104673,2.5499999993511775
Q1,100,1.5,28.034286166856702,2.5499731471955154
Q1,100,2.0,28.181709488062836,2.2401870400657353
Q1,300,0,28.043166438714252,2.54999999999998
Q1,300,0.5,28.065944713325393,2.5499999996102836
Q1,300,1.0,28.154263330158642,2.5499982434520323
Q1,300,1.5,28.371272784875657,2.547582128785976
Q1,300,2.0,28.851689973108193,2.045441239034027
Q1,600,0,28.459540454676926,2.5499999997318326
Q1,600,0.5,28.541413969918324,2.549999780370919
Q1,600,1.0,28.808513503040786,2.549883403643303
Q1,600,1.5,29.319521585812254,2.530103886968593
Q1,600,2.0,30.167968696120397,1.8721949637230142
Q1,900,0,29.332981911764932,2.5499999641729603
Q1,900,0.5,29.46535387708957,2.5499941974628677
Q1,900,1.0,29.880672066555064,2.549082647202804
Q1,900,1.5,30.61958259737804,2.497978360274992
Q1,900,2.0,31.732886750769808,1.7503791242173183
Q1,1200,0,30.552423275956926,2.5499991977487233
Q1,1200,0.5,30.717481406549553,2.5499533493245616
Q1,1200,1.0,31.227797288181364,2.546734587625102
Q1,1200,1.5,32.11605860457183,2.457795125470538
Q1,1200,2.0,33.430172803379435,1.6545950288501374
Q1,1500,0,32.00594861707083,2.5499928923293806
Q1,1500,0.5,32.194566024379014,2.5497978928753464
Q1,1500,1.0,32.77100232581307,2.542189032027716
Q1,1500,1.5,33.74875090010619,2.4140623248405606
Q1,1500,2.0,35.121767809718676,1.5750895208769602
Q1,1800,0,33.58484681368992,2.5499638900298036
Q1,1800,0.5,33.77908229946996,2.5493956127280546
Q1,1800,1.0,34.368642575019294,2.5351730543901954
Q1,1800,1.5,35.36457799241737,2.369289655816352
Q1,1800,2.0,36.78719128275736,1.506898483530513
