label,runtime_s,max_cg_iterations,max_linear_relative_residual,max_picard_iterations,normalized_moisture_balance_error,max_terminal_picard_update,dry_solid_inventory_relative_error,geometry_relative_error,max_local_dry_continuity_relative_residual,threshold_bracket,interpolated_event_time_s,reported_event_time_s,final_time_s,final_max_C,final_mean_C
P1-M1,0.0522796000004746,4,4.994507813822955e-11,3,7.8873527786125e-08,9.875600648356908e-08,0.0,0.0,0.0,,,,120,2.550000000000086,2.5284646185255975
P1-M2,0.08566419999988284,5,4.9810623988587427e-11,3,4.0157675065554143e-10,2.5870804165606387e-08,0.0,0.0,0.0,,,,120,2.550000000000088,2.5268262045350016
P1-Q4-constant,0.02545519999694079,4,4.905040216458272e-11,3,5.275117183802654e-09,4.583572765781696e-08,0.0,0.0,0.0,,,,600,2.549999999973778,2.4678806344162028
P1-Q4-shrinking,0.12285670000710525,5,4.930002838941587e-11,3,1.1920224768944957e-08,4.832356803596838e-08,4.440892098500626e-16,0.0,4.183648591139155e-15,,,,3600,2.5497390036335403,2.1518671060098744
