question,time_s,radius_cm,temperature_C,C_kg_per_kg
Q2,1800,0,41.51299999999992,2.549013562111772
Q2,1800,0.5,41.51299999999998,2.544737995050951
Q2,1800,1.0,41.51299999999998,2.5037667723683628
Q2,1800,1.5,41.51299999999998,2.293054623487932
Q2,1800,2.0,41.51299999999998,1.7193464158815368
Q2,3600,0,47.485000000000014,2.486024768540547
Q2,3600,0.5,47.485000000000014,2.4464641163067444
Q2,3600,1.0,47.485000000000014,2.3020343759695865
Q2,3600,1.5,47.485000000000014,2.0022729596570557
Q2,3600,2.0,47.485000000000014,1.5302492706872473
Q2,5400,0,49.115999999999985,2.30786480974363
Q2,5400,0.5,49.115999999999985,2.2527557123935065
Q2,5400,1.0,49.115999999999985,2.0816951250819185
Q2,5400,1.5,49.115999999999985,1.7881840124435044
Q2,5400,2.0,49.11599999999993,1.3745801825044264
Q2,7200,0,49.851999999999975,2.0995910830220574
Q2,7200,0.5,49.851999999999975,2.0450105198221533
Q2,7200,1.0,49.851999999999975,1.8807464904644293
Q2,7200,1.5,49.851999999999975,1.6096544663551582
Q2,7200,2.0,49.851999999999975,1.2354891606346543
Q2,9000,0,50.16300000000007,1.9033679501156542
Q2,9000,0.5,50.16300000000001,1.8528500819400275
Q2,9000,1.0,50.16300000000001,1.7015646828535305
Q2,9000,1.5,50.16300000000001,1.4530822149041236
Q2,9000,2.0,50.16300000000001,1.1087497959411612
Q2,10800,0,50.19500000000005,1.7261442647518213
Q2,10800,0.5,50.19499999999999,1.679933702892978
Q2,10800,1.0,50.19499999999999,1.5415119795928454
Q2,10800,1.5,50.19499999999999,1.313638733757146
Q2,10800,2.0,50.19500000000005,0.9957202260701215
