time_s,center_T_C,surface_T_C,center_C,surface_C,mean_C
0.0,28.0,28.0,2.55,2.235750319361284,2.55
300.0,30.807433333333336,30.834000000000003,2.549999999885377,2.064836601758036,2.497074891266605
600.0,33.186266666666654,33.202,2.549999895296489,1.9514012742984534,2.4475062638287057
900.0,35.51126666666664,35.524,2.5499954232940674,1.8719446948664664,2.4002214358612797
1200.0,37.86656666666664,37.882000000000005,2.5499434909500023,1.8127905662943968,2.3546535435889644
1500.0,39.59043333333335,39.59500000000003,2.5496526627579112,1.7625284289142673,2.310434505212203
1800.0,41.50143333333335,41.51299999999998,2.5486486978165623,1.7216439160005157,2.267399991921833
2100.0,42.7398,42.745000000000005,2.546129496881897,1.6833838018846217,2.2253799329885124
2400.0,44.0976,44.101999999999975,2.5411514349515456,1.6499462093343162,2.1843157376241877
2700.0,45.31683333333331,45.32299999999998,2.5327990510555973,1.6193770779338368,2.1441043096793932
3000.0,45.92363333333333,45.93000000000001,2.52058327196405,1.5878620188423662,2.1047439067489164
3300.0,46.927266666666696,46.93299999999999,2.504246426462666,1.5602887187138936,2.066188723220813
3600.0,47.47253333333333,47.485000000000014,2.484015552617826,1.5317937362562624,2.0284179176339285
3900.0,47.92423333333335,47.92599999999999,2.4601530670169374,1.5045669609695977,1.991394020503507
4200.0,48.167100000000005,48.166,2.433386559265439,1.4769470628416328,1.9551258000434417
4500.0,48.52036666666669,48.52600000000001,2.4041609234106733,1.450755062667221,1.919586566756287
4800.0,48.97930000000002,48.978999999999985,2.37291414699164,1.4260267166925351,1.8847520589774152
5100.0,48.91056666666668,48.91300000000001,2.3403561596621114,1.399579884628417,1.8506187512713368
5400.0,49.1207,49.115999999999985,2.3067796708851653,1.3748546626272724,1.8171704532080157
5700.0,49.485733333333314,49.49200000000002,2.2725265484960566,1.3512796710640425,1.7843878647658844
6000.0,49.7432,49.742999999999995,2.2379018320009867,1.3278699485110153,1.7522606769693327
6300.0,49.73946666666666,49.738999999999976,2.2029895112978997,1.3043450407028763,1.7207596555030444
6600.0,49.68993333333333,49.68299999999999,2.168282211042875,1.2805868882265061,1.6898955205731332
6900.0,49.92936666666668,49.94100000000003,2.1338143078050584,1.2582352584830125,1.659657887362982
7200.0,49.85243333333335,49.851999999999975,2.0994738340664396,1.235643713057299,1.6300112916529512
7500.0,49.8372333333333,49.84500000000003,2.065703464169397,1.2132036235738204,1.6009705614404373
7800.0,49.72073333333333,49.714,2.0323964032567905,1.1909328307756213,1.5725238071787373
8100.0,49.67329999999998,49.66399999999999,1.9994414267630896,1.169600766186726,1.544633078996432
8400.0,49.90816666666666,49.91500000000002,1.9669952675632498,1.1494083048914236,1.5173032073852037
8700.0,49.82433333333336,49.821000000000026,1.9350436040800734,1.1286876069796354,1.4905182350937853
9000.0,50.147833333333324,50.16300000000001,1.9037431837437253,1.1092489062340274,1.464280387117138
9300.0,50.076599999999985,50.08600000000001,1.8728748714534555,1.0893518179694264,1.4385621958412504
9600.0,49.815,49.803999999999974,1.8425258249736014,1.0693075496479838,1.4133556104288703
9900.0,49.93806666666666,49.935,1.8128309130726967,1.05036045772298,1.3886637554621482
10200.0,49.90603333333331,49.89499999999998,1.7835530662279802,1.0317029622716096,1.3644555059673733
10500.0,49.774,49.77199999999999,1.7549514504330705,1.0127324080792814,1.3407392405753527
10800.0,50.19263333333333,50.19499999999999,1.7267370021978048,0.9959596852356161,1.317490945064788
