time_s,sensible_inventory_change_J,fixed_volume_sensible_change_J,geometry_heat_term_J,geometry_reference_temperature_K,surface_convection_in_W,surface_latent_out_W,linear_solver_relative_residual,physical_heat_balance_residual_J,physical_heat_balance_relative
600.0,-13864.203505118465,-13864.203505118465,0.0,301.1499999999999,18.354099893295274,41.46110573987254,4.4979546255698994e-11,2.8278973331907764e-06,2.039711356044909e-10
1200.0,-2952.607289372313,-2952.607289372313,0.0,274.4185740139563,19.43349744596608,24.35450960125623,4.712498683163762e-11,3.8017769838916138e-06,3.260501611081823e-10
1800.0,-675.409467924672,-675.409467924672,0.0,268.66583930581817,20.225020734018894,21.350703181901814,3.170416928817301e-11,8.050797077885363e-07,6.634354202287466e-11
2400.0,501.82689308593945,501.82689308593945,0.0,267.33687880620823,20.187769199392374,19.351391037026,3.483761165108246e-11,-4.33388413512148e-06,3.5779784055683937e-10
3000.0,916.904343500759,916.904343500759,0.0,268.3426134469103,19.870032200338706,18.341858288836253,3.591698443108025e-11,-3.400712785150972e-06,2.85246374277223e-10
3600.0,1067.7369667301948,1067.7369667301948,0.0,270.1961032500593,19.470120205592746,17.69055858883833,3.91228079742574e-11,-3.3224557682842715e-06,2.8440637356122607e-10
4200.0,981.2727148910269,981.2727148910269,0.0,272.3763122473598,18.901551899713354,17.266097369525156,3.944278140211983e-11,-3.2218921433013747e-06,2.8409414567261324e-10
4800.0,935.3574682747608,935.3574682747608,0.0,274.4000683983152,18.42607651227296,16.867147393055877,4.1237580600120093e-11,-3.25548921864538e-06,2.9446395497137017e-10
5400.0,776.438466644053,776.438466644053,0.0,276.3485507579635,17.855250589507556,16.56118647070251,4.987709612967466e-11,-4.638974814952235e-06,4.330168682219707e-10
6000.0,750.4237876807556,750.4237876807556,0.0,277.98180370270114,17.457091007025724,16.206384686970246,3.494797255838401e-11,-4.3525312776182545e-06,4.155456824456557e-10
6600.0,602.0116258931187,602.0116258931187,0.0,279.5759835619597,16.949579002335934,15.946226285344267,3.939355830777715e-11,-4.301881745050196e-06,4.2300772824085333e-10
7200.0,553.1492978426488,553.1492978426488,0.0,280.8670164686744,16.540272624588543,15.618357123234265,3.593672998070793e-11,-2.9699176593567245e-06,2.992612563251311e-10
7800.0,463.405274451178,463.405274451178,0.0,282.064700666122,16.09563479552162,15.323292669367786,2.9871253632568656e-11,-1.2411214243002178e-06,1.285153231572184e-10
8400.0,455.22026240549354,455.22026240549354,0.0,283.07744941523276,15.76096524965417,15.002264811718561,3.5054977018041405e-11,-3.5587174807005795e-07,3.763218627296812e-11
9000.0,436.4053964276786,436.4053964276786,0.0,284.0818269258656,15.459922908036779,14.732580581016519,3.939642941659493e-11,2.155226752620365e-07,2.3234556918995363e-11
9600.0,336.2885885261293,336.2885885261293,0.0,285.0537267541941,15.035373414636782,14.47489243406525,3.204190478943878e-11,1.832103180277045e-07,2.0308809207819112e-11
10200.0,342.027492883376,342.027492883376,0.0,285.80927784921613,14.745886618627761,14.175840799505998,3.983587696870071e-11,1.4103183048064238e-06,1.5940245363350315e-10
10800.0,357.32113165696035,357.32113165696035,0.0,286.5849732818371,14.515438380786852,13.919903164667366,4.5218099278873986e-11,1.9852683408316807e-06,2.2794906231922147e-10
11400.0,322.0890258163761,322.0890258163761,0.0,287.40295313778466,14.223437773379967,13.686622733153984,4.235164450150904e-11,1.6807861129564117e-06,1.969502895779183e-10
12000.0,283.9709213953583,283.9709213953583,0.0,288.146883633234,13.928330171980916,13.455045304686529,4.0690320706422397e-11,1.0187260954808153e-06,1.2190096047672047e-10
12600.0,268.1420460813454,268.1420460813454,0.0,288.80859052145814,13.652324051656533,13.205420643537213,4.3350485634672555e-11,1.209753179409745e-06,1.476858658926716e-10
13200.0,229.45064363087488,229.45064363087488,0.0,289.4390108371044,13.358255158479032,12.975837419819632,4.243057409888878e-11,4.3523453996385797e-07,5.4302818095170756e-11
13800.0,224.87747766852544,224.87747766852544,0.0,289.9831239288081,13.100431982331735,12.725636187701658,4.6691029738050495e-11,8.90479725512705e-07,1.132888501582334e-10
