time_s,radius_m,max_C,mean_C,center_C,surface_C,center_T_C,surface_T_C
0.0,0.02,2.5500000000000003,2.55,2.5500000000000003,2.5025658044623342,28.0,28.0
3600.0,0.01794,2.5499998858240605,2.161495264034171,2.5499998858240605,0.986083045958316,39.09116145890391,43.20826483670402
7200.0,0.01625,2.544463540424098,1.8606408865639954,2.544463540424098,0.8254946702685582,48.1249694733246,48.983312991463265
10800.0,0.01552,2.4519113393587983,1.6008330432998747,2.4519113393587983,0.684408400835552,49.81488088715895,49.976093590193784
14400.0,0.01477,2.239350679707109,1.379364365985762,2.239350679707109,0.5767480047925967,49.99370338229994,50.01564511791628
18000.0,0.01424,1.978204959926065,1.1887732889457003,1.978204959926065,0.4909500940616946,49.998716564867266,49.99882463800867
21600.0,0.01374,1.7186249994910119,1.0247058742527853,1.7186249994910119,0.4207028203018115,49.99892624651579,49.99893028461457
25200.0,0.01337,1.482253748150734,0.8840189682028363,1.482253748150734,0.3600745693899347,49.998934153938706,49.998934271628855
28800.0,0.01311,1.2766289463935139,0.7645900566239362,1.2766289463935139,0.3074147439506251,49.99893417377069,49.99893428198351
32400.0,0.01291,1.103120565909542,0.6647129715538755,1.103120565909542,0.26226727591672533,49.99893419845955,49.99893429322776
36000.0,0.012729999999999998,0.958223554991383,0.5817482062578967,0.958223554991383,0.22442677495452998,49.99893423673865,49.998934313439236
39600.0,0.0126,0.8378928361405805,0.5131448357425182,0.8378928361405805,0.19287934893716052,49.99893424082927,49.99893431631216
43200.0,0.01248,0.7381792514050065,0.4565438109336811,0.7381792514050065,0.16709111150963404,49.99893425885938,49.99893432719523
46800.0,0.0124,0.655722396214288,0.40990608675608475,0.655722396214288,0.14604994316053613,49.99893426263776,49.998934329531664
50400.0,0.01233,0.5873914328822926,0.37137729288419247,0.5873914328822926,0.12916257721963245,49.99893426626073,49.998934331841895
54000.0,0.01226,0.5305093590871988,0.3393647999602138,0.5305093590871988,0.11569407668424121,49.99893426978815,49.99893433411091
57600.0,0.01221,0.4829268146283487,0.31258817377396075,0.4829268146283487,0.10488713108177104,49.99893427324241,49.9989343363452
61200.0,0.01218,0.4429671196073931,0.29006047688887615,0.4429671196073931,0.0961987023145758,49.99893427661067,49.99893433853521
64800.0,0.01214,0.4091868132510703,0.2709552491629672,0.4091868132510703,0.08926323167383816,49.99893427989798,49.99893434067258
68400.0,0.012119999999999999,0.3804141255131399,0.25460809751616037,0.3804141255131399,0.08361825042463626,49.99893428309326,49.99893434275151
72000.0,0.0121,0.3557530418299451,0.24052010313093475,0.3557530418299451,0.07903000255215772,49.998934286198846,49.99893434477019
75600.0,0.01208,0.33445115774773876,0.22827707303892583,0.33445115774773876,0.0752692000768411,49.998934289214446,49.99893434672401
79200.0,0.01206,0.3159134515133517,0.21755393803114673,0.3159134515133517,0.07215964899067472,49.998934292130684,49.998934348605644
82800.0,0.01205,0.29968970270784645,0.2081062610113486,0.29968970270784645,0.06955287012860388,49.99893429494915,49.99893435042037
86400.0,0.01204,0.2853999508531509,0.19972903619588636,0.2853999508531509,0.06736490691862906,49.99893429768889,49.99893435217683
90000.0,0.01203,0.272734048621822,0.19225462163824858,0.272734048621822,0.06551407100500162,49.99893430035223,49.998934353876336
93600.0,0.01203,0.2614459135268187,0.1855499457584471,0.2614459135268187,0.06392670324000276,49.99893430292889,49.998934355515075
97200.0,0.01202,0.25133780333395206,0.17950840539037494,0.25133780333395206,0.06257600044305897,49.99893430542511,49.99893435709481
100800.0,0.01202,0.24223227121920807,0.17403310303260122,0.24223227121920807,0.061401418481160965,49.99893430784857,49.99893435862168
104400.0,0.01202,0.23400050600649788,0.16905424782493655,0.23400050600649788,0.060382405073856935,49.99893431007206,49.99893436001804
108000.0,0.01201,0.22651591216439185,0.1645022353477659,0.22651591216439185,0.059500291404356524,49.998934311884796,49.99893436115093
111600.0,0.01201,0.2196883655062391,0.16032752373687958,0.2196883655062391,0.05871916241437584,49.99893431369287,49.998934362279556
115200.0,0.01201,0.2134383512916538,0.156486385733556,0.2134383512916538,0.05803076981727379,49.9989343155886,49.99893436345951
118800.0,0.01201,0.20769609534408642,0.15294007844847982,0.20769609534408642,0.05742125999994098,49.99893431769681,49.998934364765546
122400.0,0.01201,0.20240236542427706,0.14965554712314694,0.20240236542427706,0.05687919981518029,49.998934320263345,49.998934366346646
126000.0,0.012,0.1975045745496068,0.1466032597773797,0.1975045745496068,0.05639998791189417,49.998934323535536,49.998934368342816
129600.0,0.012,0.19295624864625643,0.1437567834345714,0.19295624864625643,0.05596517986560243,49.99893432679903,49.998934370316135
133200.0,0.012,0.18872608967008003,0.141098660445639,0.18872608967008003,0.05557381140746796,49.99893432997442,49.99893437222204
136800.0,0.012,0.1847815455537346,0.1386104021125855,0.1847815455537346,0.05522046028116223,49.99893433305613,49.99893437405933
140400.0,0.012,0.18109429830852714,0.13627583703937657,0.18109429830852714,0.05490037503950913,49.99893433592257,49.998934375756846
144000.0,0.012,0.1776396090700872,0.13408077381638708,0.1776396090700872,0.05460956777628137,49.998934337912715,49.99893437693089
147600.0,0.012,0.17439577871784653,0.13201270826465714,0.17439577871784653,0.05434456148827852,49.99893433974347,49.998934378007505
151200.0,0.012,0.17134370204590327,0.13006058718537,0.17134370204590327,0.054102400951221874,49.99893434144434,49.99893437900528
154800.0,0.012,0.16846649668459743,0.1282146031544536,0.16846649668459743,0.05388053600348345,49.9989343430168,49.99893437992574
158400.0,0.012,0.16574919327408497,0.12646602550213162,0.16574919327408497,0.053676759540428914,49.99893434447512,49.99893438077726
162000.0,0.012,0.16317847504829777,0.12480705757537074,0.16317847504829777,0.053489154325606206,49.998934345848795,49.998934381578124
165600.0,0.012,0.16074245857555694,0.1232307158336974,0.16074245857555694,0.05331604887507419,49.998934347164095,49.99893438234341
169200.0,0.012,0.15843050772760214,0.12173072714323678,0.15843050772760214,0.05315598101646975,49.998934348446085,49.99893438308868
172800.0,0.012,0.15623307587349144,0.12030144106576823,0.15623307587349144,0.05300766738642417,49.998934349696526,49.99893438381355
