scope,family,level,nr,nz,dt_s,metric,value,adjacent_change,runtime_s
time,Q2-M3,1,210,36,10,final_max_C,1.7279680699343563,,56.92465830000583
time,Q2-M3,2,210,36,5,final_max_C,1.7278641290474162,0.0001039408869401015,84.0716253999999
time,Q2-M3,3,210,36,2.5,final_max_C,1.7278120917399604,5.203730745573232e-05,86.20212900001206
time,Q2-M3,4,210,36,1.25,final_max_C,1.7277860781121686,2.6013627791865446e-05,148.4011473999999
