time_s,max_C,mean_C,center_C,surface_C
0,2.5500000000000003,2.55,2.5500000000000003,2.5440339260446234
60,2.5499999999999967,2.5379041266732907,2.5499999999999945,2.355584931800527
120,2.5499999999998844,2.5262751054884243,2.5499999999998804,2.26707305347632
180,2.549999999998676,2.514978295145823,2.549999999998673,2.2044618337343533
240,2.5499999999902743,2.503948916470061,2.549999999990274,2.1543476125384244
300,2.5499999999425658,2.493133118689496,2.5499999999425658,2.1144693256350533
360,2.5499999997284046,2.48250650496766,2.5499999997284046,2.0792971666231765
420,2.5499999989114213,2.472046041538164,2.5499999989114213,2.048569756138868
480,2.549999996261854,2.461739768472889,2.549999996261854,2.020147092728
540,2.5499999884214617,2.451567708291966,2.5499999884214617,1.9956020718197436
600,2.549999967538982,2.4415197153154797,2.549999967538982,1.9729876782750009
660,2.5499999155675317,2.4315803628412103,2.5499999155675317,1.9531919872831995
720,2.5499997977537707,2.421746602908153,2.5499997977537707,1.934010791160064
780,2.5499995459902847,2.412009161302538,2.5499995459902847,1.916652575984126
840,2.549999046053658,2.4023664269647416,2.549999046053658,1.899730970059489
900,2.549998105340519,2.3928123860243566,2.549998105340519,1.8838343878867887
960,2.54999639959518,2.383337026237327,2.54999639959518,1.869649075774301
1020,2.54999348836162,2.3739422555021723,2.54999348836162,1.8552630916041244
1080,2.5499885919117227,2.3646164002572454,2.5499885919117227,1.8432821697070716
1140,2.5499807796991214,2.3553595392644837,2.5499807796991214,1.830996915042664
1200,2.5499686586466024,2.346168802815592,2.5499686586466024,1.819575405726542
1260,2.5499506176817746,2.337043681781335,2.5499506176817746,1.8078898492461293
1320,2.549923998152936,2.327975329048918,2.549923998152936,1.798007715749737
1380,2.549886157137941,2.318966079124373,2.549886157137941,1.787946518108952
1440,2.549833707423505,2.3100127193258886,2.549833707423505,1.7780351597347923
1500,2.5497633124197576,2.3011189826272624,2.5497633124197576,1.7676390533354909
1560,2.549669340855511,2.2922777144107425,2.549669340855511,1.7585397854494975
1620,2.549547769074369,2.2834915570391776,2.549547769074369,1.748948966627926
1680,2.549391760402471,2.274756051369931,2.549391760402471,1.7401935653103375
1740,2.5491930072504307,2.266065766918732,2.5491930072504307,1.732516853350664
1800,2.548945344215512,2.257421407012906,2.548945344215512,1.7247172074403083
1860,2.548639997236785,2.2488205153488035,2.548639997236785,1.7173166957268795
1920,2.5482742812915795,2.240269476764169,2.5482742812915795,1.7088662410663928
1980,2.547836538352141,2.231763744796261,2.547836538352141,1.7011486502937756
2040,2.547317735566724,2.2233006219320237,2.547317735566724,1.6937978738233523
2100,2.54671337216578,2.2148821928399105,2.54671337216578,1.686113735411469
2160,2.5460136258317445,2.206507321312935,2.5460136258317445,1.67872271112026
2220,2.5452045594503283,2.1981722712827207,2.5452045594503283,1.6721136281681297
2280,2.544286578108625,2.1898789843099444,2.544286578108625,1.664977831864811
2340,2.5432401592777896,2.1816210776584586,2.5432401592777896,1.6587768612049083
2400,2.5420699773523867,2.1734032953484848,2.5420699773523867,1.651987644445705
2460,2.5407556836323564,2.1652212283807883,2.5407556836323564,1.6460113350424057
2520,2.539302454537805,2.157076983452596,2.539302454537805,1.6395974082350104
2580,2.5377132002743896,2.1489734435419976,2.5377132002743896,1.6327227835064966
2640,2.5359567482666407,2.1409036921410847,2.5359567482666407,1.627010702840804
2700,2.534043903489086,2.132868959615642,2.534043903489086,1.6209521073122373
2760,2.531986130717788,2.124873649802275,2.531986130717788,1.6142974960455323
2820,2.5297709299186906,2.1169161001776104,2.5297709299186906,1.607878581458273
2880,2.5273753526350067,2.1089911180144245,2.5273753526350067,1.6022372129002425
2940,2.5248383926250155,2.1011061064825056,2.5248383926250155,1.5955960637913225
3000,2.5221337188162267,2.0932552661025503,2.5221337188162267,1.589463907988479
3060,2.519273735162156,2.0854428641376312,2.519273735162156,1.583168836700389
3120,2.516206140030058,2.07765835438405,2.516206140030058,1.5782152387072828
3180,2.5129781965865186,2.06990854246075,2.5129781965865186,1.5725729970225886
3240,2.509582339911449,2.0621915696148854,2.509582339911449,1.5669936673103166
3300,2.5060175412208374,2.054507016122443,2.5060175412208374,1.561500853730076
3360,2.5023126816615138,2.0468568959234235,2.5023126816615138,1.5554841518126583
