scope,factor,level,value,t_star_s,final_max_C,final_mean_C,scenario,time_h,display_h,crossed
Q3,combined_boundary_empirical,low,"(0.8, 0.8, 0.8, 1.2)",259200.0,0.1824933498937684,0.1509152061417538,combined_boundary_empirical-low,72.0,72.0,True
Q3,combined_boundary_empirical,high,"(1.2, 1.2, 1.2, 0.8)",111780.0,0.149991380789267,0.1188876554353132,combined_boundary_empirical-high,31.05,31.05,True
