material,angle_deg,file,window,window_low_cm_inv,window_high_cm_inv,mask,model,n_points,q_um,status,ambiguity,cycles,peak_width_per_cm_inv,q_bin_resolution_um,grid_step_cm_inv,nfft,rmse,residual_lag1,boundary_hit,runtime_s
SiC,10,附件1.xlsx,W1,600.0,1600.0,raw,F,2074,10.000901915395268,OK_CONDITIONAL,0.26147365937631517,1.9990356798458173,0.0020001803830790536,5.002863138574206,0.48211659430774034,2074,,,,0.00016219998360611498
SiC,10,附件1.xlsx,W1,600.0,1600.0,reasoned,F,2074,10.000901915395268,OK_CONDITIONAL,0.26147365937631517,1.9990356798458173,0.0020001803830790536,5.002863138574206,0.48211659430774034,2074,,,,0.00015770000754855573
SiC,10,附件1.xlsx,W2,1600.0,2800.0,raw,F,2489,20.83352227669277,OK_CONDITIONAL,0.024116836668927655,4.997991161109782,0.0016666817821354217,4.168379175778049,0.48211696141470384,2489,,,,0.0002769000129774213
SiC,10,附件1.xlsx,W2,1600.0,2800.0,reasoned,F,2489,20.83352227669277,OK_CONDITIONAL,0.024116836668927655,4.997991161109782,0.0016666817821354217,4.168379175778049,0.48211696141470384,2489,,,,0.00020410001161508262
SiC,10,附件1.xlsx,W3,2800.0,3800.0,raw,F,2074,20.00179782681621,OK_CONDITIONAL,0.01745549220003621,3.9980713596918545,0.0020001797826816217,5.002861636856283,0.4821167390255141,2074,,,,0.0001750000228639692
SiC,10,附件1.xlsx,W3,2800.0,3800.0,reasoned,F,2074,20.00179782681621,OK_CONDITIONAL,0.01745549220003621,3.9980713596918545,0.0020001797826816217,5.002861636856283,0.4821167390255141,2074,,,,0.0001829999964684248
SiC,15,附件2.xlsx,W1,600.0,1600.0,raw,F,2074,10.000901915395268,OK_CONDITIONAL,0.25526406989704636,1.9990356798458173,0.0020001803830790536,5.002863138574206,0.48211659430774034,2074,,,,0.00018430000636726618
SiC,15,附件2.xlsx,W1,600.0,1600.0,reasoned,F,1812,10.0002043531535,OK_CONDITIONAL,0.26558944282191294,1.9988962472404377,0.0020000408706306997,5.002863138574206,0.5518651021535561,1812,,,,0.00017630000365898013
SiC,15,附件2.xlsx,W2,1600.0,2800.0,raw,F,2489,20.83352227669277,OK_CONDITIONAL,0.06397416845582068,4.997991161109782,0.0025000226732031323,4.168379175778049,0.48211696141470384,2489,,,,0.00020360000780783594
SiC,15,附件2.xlsx,W2,1600.0,2800.0,reasoned,F,2489,20.83352227669277,OK_CONDITIONAL,0.06397416845582068,4.997991161109782,0.0025000226732031323,4.168379175778049,0.48211696141470384,2489,,,,0.00019829999655485153
SiC,15,附件2.xlsx,W3,2800.0,3800.0,raw,F,2074,20.00179782681621,OK_CONDITIONAL,0.022232149883282554,3.9980713596918545,0.0020001797826816217,5.002861636856283,0.4821167390255141,2074,,,,0.00016250001499429345
SiC,15,附件2.xlsx,W3,2800.0,3800.0,reasoned,F,2074,20.00179782681621,OK_CONDITIONAL,0.022232149883282554,3.9980713596918545,0.0020001797826816217,5.002861636856283,0.4821167390255141,2074,,,,0.00016070000128820539
