time_s,radius_m,max_C,min_C,mean_C,center_C,surface_C,center_T_C,surface_T_C
0.0,0.02,2.55,2.55,2.55,2.5499999999999994,2.3781336329492673,27.999999999999943,28.0
1800.0,0.02,2.5484810546383097,1.384077067135629,2.2681680279799075,2.5484810546383097,1.6485909662925409,31.951976572313924,35.69611752224574
3600.0,0.02,2.5096154381996563,1.0784694839815496,2.038350304415639,2.5096154381996563,1.4711897837264385,39.78992419187347,43.03581278372002
5400.0,0.02,2.3677914651876355,0.9099850397514112,1.833377950320274,2.3677914651876355,1.3472542947418134,45.322224831616666,47.011950101753655
7200.0,0.02,2.1602465212787445,0.7770137498148719,1.6488791434827492,2.1602465212787445,1.2310340293136501,48.09716361226617,48.87195225317663
9000.0,0.02,1.9508551934117146,0.6631037078604916,1.483492382532177,1.9508551934117146,1.1178610452183146,49.30573972247481,49.651091566201785
10800.0,0.02,1.7624585097912868,0.5651819527285923,1.3359945331317549,1.7624585097912868,1.0098713144138165,49.75027010861294,49.92508751222414
