time_s,radius_m,max_C,mean_C,center_C,surface_C,center_T_C,surface_T_C
0.0,0.02,2.55,2.5499999999999994,2.55,2.5410595850601756,28.0,28.0
3600.0,0.02,2.5227178171203133,2.0327489558217073,2.5227178171203133,1.4738760712831245,40.38441866640153,43.004501720182986
7200.0,0.02,2.17000346011278,1.6420009375055054,2.17000346011278,1.231882389012353,48.42049269472835,48.98420154593879
10800.0,0.02,1.7673699903718172,1.3287389062440755,1.7673699903718172,1.0088698029530019,49.84574675085673,49.96517366400502
14400.0,0.02,1.4551360756311873,1.081498013388017,1.4551360756311873,0.816304307169234,49.99553893928669,50.01124170843775
18000.0,0.02,1.2114308447028936,0.8876408833547124,1.2114308447028936,0.6595740429062661,49.99877850271571,49.9988459148401
21600.0,0.02,1.018553980733483,0.7359149989102426,1.018553980733483,0.5338272379041115,49.998928571404235,49.99893116705738
25200.0,0.02,0.865294335574719,0.6172906181829837,0.865294335574719,0.4331990497144014,49.99893418361319,49.998934278783054
28800.0,0.02,0.7433786454869897,0.5246585432306633,0.7433786454869897,0.35269942038980584,49.99893418937768,49.998934281568495
32400.0,0.02,0.6462987179907389,0.45244391828798747,0.6462987179907389,0.28835322046856565,49.998934194313506,49.99893428468425
36000.0,0.02,0.5688562550279768,0.3962438360957527,0.5688562550279768,0.23706782713281255,49.998934199184134,49.998934287734244
39600.0,0.02,0.5068897034008514,0.35254335918685525,0.5068897034008514,0.19647784007419053,49.99893420418368,49.99893429086188
43200.0,0.02,0.4570757356852198,0.3185053763218996,0.4570757356852198,0.1647704653737989,49.99893422399674,49.99893430261932
46800.0,0.02,0.4167748917483808,0.2918297378777145,0.4167748917483808,0.14046321258817088,49.99893422997616,49.99893430625252
50400.0,0.02,0.3839066681404441,0.2706764063822987,0.3839066681404441,0.12217698420158192,49.998934249299054,49.99893431822204
54000.0,0.02,0.3568453126939905,0.2536250212352406,0.3568453126939905,0.1085522695341356,49.998934266330195,49.998934329177814
