label,q,nr,nz,dt_s,duration_s,temp_mode,center_T_C,surface_T_C,final_max_C,final_mean_C,interpolated_event_time_s,reported_event_time_s,normalized_moisture_balance_error,max_linear_relative_residual,runtime_s
Q2-M4-field-fine,2,140,36,5.0,10800,field,49.85041848738251,49.96703036150927,1.7662268347493226,1.3277086790389783,,,2.0230128011181418e-08,5.000060587463528e-11,64.3185283999992
Q3-M4-field,3,140,36,60.0,259200,field,49.99893437639537,49.99893439750076,0.14999263073048913,0.12153407506921829,207158.11509752373,207180.0,1.6670158078361466e-09,5.01384037871783e-11,100.95997979999811
Q4-M4-field,4,140,32,60.0,259200,field,49.99893435331825,49.9989343859084,0.14999898662005068,0.11622708929039433,184079.97393816215,184080.0,1.2194172282184523e-09,5.010732191787905e-11,85.13945190000231
