time_s,radius_m,max_C,mean_C,center_C,surface_C,center_T_C,surface_T_C
0.0,0.02,2.55,2.5499999999999994,2.55,2.5410595850601756,28.0,28.0
600.0,0.02,2.5499999999990646,2.441770938510913,2.5499999999990646,1.9330567413713675,28.273933208199082,29.703303320593818
1200.0,0.02,2.549999590595132,2.34870430968845,2.549999590595132,1.7553580472655341,29.771576726623664,32.439247194881716
1800.0,0.02,2.549924463547072,2.2631967654382046,2.549924463547072,1.6490349673270694,32.196773076109366,35.41765568734718
2400.0,0.02,2.5487208263259746,2.182694793047069,2.5487208263259746,1.5754814834591475,34.99796651631851,38.275127803730925
3000.0,0.02,2.5425196409825,2.1059192224458485,2.5425196409825,1.5189787708635214,37.81301767484115,40.82230801534581
3600.0,0.02,2.525442373326271,2.032206217177124,2.525442373326271,1.471313430055202,40.38187469147857,42.99829019581824
4200.0,0.02,2.4932746922739777,1.9611687541159193,2.4932746922739777,1.4282193395264404,42.595978987966475,44.72566912316864
4800.0,0.02,2.445735565427656,1.8926128768887611,2.445735565427656,1.38750115525334,44.397822126525796,46.14101031048483
5400.0,0.02,2.3857437987347105,1.8264110610163293,2.3857437987347105,1.347680051839183,45.84421387794214,47.137918513830755
6000.0,0.02,2.317480649171942,1.7624910024760139,2.317480649171942,1.308580655031167,46.95291130440796,47.98750744146935
6600.0,0.02,2.2448172538590145,1.7007914428664908,2.2448172538590145,1.269814693837886,47.8210666517308,48.56377124334125
7200.0,0.02,2.1707276570759366,1.6412764640658963,2.1707276570759366,1.2311671261389636,48.4490941085034,49.002508869102655
7800.0,0.02,2.0972598983950927,1.5839076738831712,2.0972598983950927,1.1924499532232178,48.90038587176491,49.24593863379937
8400.0,0.02,2.025704822240835,1.5286470542236414,2.025704822240835,1.154382676859449,49.22473795027986,49.490463183680845
9000.0,0.02,1.9566389785564244,1.4754503282898384,1.9566389785564244,1.1167172910373913,49.46698152292606,49.66239133991695
9600.0,0.02,1.8903565184569662,1.4242689251401917,1.8903565184569662,1.0798501813749193,49.6385701475657,49.776002720293945
10200.0,0.02,1.8269000239952597,1.3750426447130848,1.8269000239952597,1.0436163306262969,49.76579676182388,49.870599458675656
10800.0,0.02,1.7662268347493226,1.3277086790389783,1.7662268347493226,1.0081937692093783,49.85041848738251,49.96703036150927
