scope,family,level,nr,nz,dt_s,metric,value,adjacent_change_s,observed_order,runtime_s,max_linear_relative_residual,normalized_moisture_balance_error,max_terminal_picard_update,threshold_bracket,source_log,status
Q3,M3,1,63,36,15,interpolated_event_time_s,206914.14258538853,,,69.3353444999957,4.999966419945798e-11,8.593809077082077e-09,9.99852425159764e-08,"[206910, 206925, 0.15000020351688614, 0.14999584566988985]",04-compute\revision-grid-conv-20260912\logs\q3.log,COMPLETED
Q3,M3,2,93,36,15,interpolated_event_time_s,206782.18053054292,131.96205484561506,,128.06467009999324,4.9999388322405034e-11,7.692908522850024e-09,9.994586647188441e-08,"[206775, 206790, 0.15000108868492143, 0.14999672545944187]",04-compute\revision-grid-conv-20260912\logs\q3.log,COMPLETED
Q3,M3,3,140,36,15,interpolated_event_time_s,206711.22898934042,70.95154120249208,1.516997967,201.35136440000497,4.99999031292397e-11,5.476552308883344e-09,9.998885598661023e-08,"[206700, 206715, 0.15000226881391326, 0.1499979022402874]",04-compute\revision-grid-conv-20260912\logs\q3.log,COMPLETED
Q3,M3,4,175,36,15,interpolated_event_time_s,206688.94230044854,22.28668889187975,5.189518269,274.3008361000102,4.999943731633386e-11,4.3752415542548255e-09,9.999227733314964e-08,"[206685, 206700, 0.15000014769317419, 0.14999578085258514]",04-compute\revision-grid-conv-20260912\logs\q3_mid.log,COMPLETED
Q3,M3,5,210,36,15,interpolated_event_time_s,206676.14712249584,12.795177952706581,3.043640159,313.7188935000013,4.99997423038768e-11,3.5489557752534386e-09,9.999483677886056e-08,"[206670, 206685, 0.15000078978444775, 0.14999642241309075]",04-compute\revision-grid-conv-20260912\logs\q3.log,COMPLETED
